dataset,predicted_ranking,true_ranking,predicted_ranking_error,true_ranking_error
AedesQuinx,"['SMM', 'HDy', 'SORD', 'DyS', 'MAX', 'X', 'PCC', 'ACC', 'MS', 'PACC', 'CC']","['DyS', 'MS', 'SORD', 'SMM', 'ACC', 'X', 'MAX', 'HDy', 'PACC', 'CC', 'PCC']","[np.float64(0.08779549999999997), np.float64(0.09377649999999998), np.float64(0.11421449999999993), np.float64(0.1258565000000001), np.float64(0.13160350000000004), np.float64(0.14030449999999997), np.float64(0.2289515), np.float64(0.2853799999999999), np.float64(0.29715949999999985), np.float64(0.3184419999999999), np.float64(0.338687)]","[np.float64(0.03625), np.float64(0.03765), np.float64(0.03775), np.float64(0.03925), np.float64(0.0396), np.float64(0.040600000000000004), np.float64(0.042100000000000005), np.float64(0.0546), np.float64(0.0891), np.float64(0.09885000000000001), np.float64(0.14945)]"
AedesSex,"['SMM', 'SORD', 'HDy', 'DyS', 'MAX', 'X', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['DyS', 'MS', 'SORD', 'SMM', 'MAX', 'ACC', 'X', 'HDy', 'CC', 'PACC', 'PCC']","[np.float64(0.09627999999999994), np.float64(0.10526899999999995), np.float64(0.10732899999999997), np.float64(0.13309000000000004), np.float64(0.13707150000000004), np.float64(0.147241), np.float64(0.20187900000000006), np.float64(0.2877804999999999), np.float64(0.32112199999999985), np.float64(0.3373725), np.float64(0.3537189999999999)]","[np.float64(0.0093), np.float64(0.00945), np.float64(0.00945), np.float64(0.010450000000000001), np.float64(0.011300000000000001), np.float64(0.011899999999999999), np.float64(0.01235), np.float64(0.01255), np.float64(0.0156), np.float64(0.020550000000000002), np.float64(0.027450000000000002)]"
ArabicDigit,"['SMM', 'SORD', 'HDy', 'MAX', 'DyS', 'X', 'PCC', 'MS', 'ACC', 'CC', 'PACC']","['DyS', 'MS', 'SORD', 'SMM', 'ACC', 'X', 'MAX', 'CC', 'PACC', 'HDy', 'PCC']","[np.float64(0.09286699999999992), np.float64(0.10907949999999995), np.float64(0.11143849999999994), np.float64(0.12559150000000005), np.float64(0.136428), np.float64(0.1405359999999999), np.float64(0.22395600000000013), np.float64(0.27003649999999996), np.float64(0.28990249999999995), np.float64(0.3491020000000001), np.float64(0.3657095000000002)]","[np.float64(0.0066), np.float64(0.0073999999999999995), np.float64(0.0076), np.float64(0.00855), np.float64(0.00895), np.float64(0.00895), np.float64(0.009), np.float64(0.0108), np.float64(0.0111), np.float64(0.012400000000000001), np.float64(0.0159)]"
BNG,"['HDy', 'SMM', 'SORD', 'MAX', 'DyS', 'X', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['SORD', 'MS', 'DyS', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'HDy', 'CC', 'PCC']","[np.float64(0.09782599999999995), np.float64(0.09803149999999995), np.float64(0.11426549999999994), np.float64(0.12847849999999997), np.float64(0.13967850000000007), np.float64(0.14541749999999995), np.float64(0.2109960000000001), np.float64(0.25452749999999985), np.float64(0.3120229999999999), np.float64(0.325086), np.float64(0.32677799999999996)]","[np.float64(0.00965), np.float64(0.009850000000000001), np.float64(0.0099), np.float64(0.0102), np.float64(0.010400000000000001), np.float64(0.01065), np.float64(0.0117), np.float64(0.01255), np.float64(0.014100000000000001), np.float64(0.0165), np.float64(0.02225)]"
HTRU,"['SMM', 'SORD', 'MAX', 'X', 'HDy', 'DyS', 'PCC', 'MS', 'ACC', 'PACC', 'CC']","['DyS', 'MAX', 'X', 'SMM', 'SORD', 'MS', 'ACC', 'PACC', 'HDy', 'PCC', 'CC']","[np.float64(0.08290649999999994), np.float64(0.09178999999999995), np.float64(0.101722), np.float64(0.10726000000000005), np.float64(0.11122149999999989), np.float64(0.11226500000000007), np.float64(0.20244149999999997), np.float64(0.22474000000000008), np.float64(0.25618899999999983), np.float64(0.3159109999999998), np.float64(0.34285150000000014)]","[np.float64(0.0193), np.float64(0.0216), np.float64(0.02375), np.float64(0.02485), np.float64(0.025500000000000002), np.float64(0.025750000000000002), np.float64(0.0305), np.float64(0.03165), np.float64(0.0455), np.float64(0.10674999999999998), np.float64(0.12384999999999999)]"
anuranCalls,"['SMM', 'SORD', 'HDy', 'MAX', 'DyS', 'X', 'PCC', 'ACC', 'MS', 'PACC', 'CC']","['DyS', 'MS', 'SORD', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'HDy', 'CC', 'PCC']","[np.float64(0.10229449999999993), np.float64(0.10529899999999996), np.float64(0.11052299999999991), np.float64(0.13625750000000003), np.float64(0.13689400000000002), np.float64(0.14691399999999993), np.float64(0.2144385000000002), np.float64(0.28927349999999985), np.float64(0.30846549999999984), np.float64(0.325917), np.float64(0.3550615000000002)]","[np.float64(0.01575), np.float64(0.0166), np.float64(0.0167), np.float64(0.01725), np.float64(0.01905), np.float64(0.0191), np.float64(0.020200000000000003), np.float64(0.026850000000000002), np.float64(0.0329), np.float64(0.0439), np.float64(0.05965)]"
click-prediction,"['SMM', 'SORD', 'HDy', 'DyS', 'X', 'MAX', 'PCC', 'ACC', 'MS', 'PACC', 'CC']","['SMM', 'DyS', 'HDy', 'SORD', 'X', 'MAX', 'PACC', 'PCC', 'ACC', 'CC', 'MS']","[np.float64(0.062257999999999966), np.float64(0.07480500000000001), np.float64(0.0893975), np.float64(0.09750850000000011), np.float64(0.10186450000000001), np.float64(0.10673350000000001), np.float64(0.14586049999999992), np.float64(0.18130600000000008), np.float64(0.25312099999999976), np.float64(0.2888074999999999), np.float64(0.3024405000000001)]","[np.float64(0.1367), np.float64(0.1383), np.float64(0.13955), np.float64(0.14165), np.float64(0.14950000000000002), np.float64(0.1544), np.float64(0.35525), np.float64(0.35525), np.float64(0.5), np.float64(0.5), np.float64(0.5)]"
cmc,"['SMM', 'HDy', 'SORD', 'DyS', 'MAX', 'X', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['SMM', 'SORD', 'MS', 'DyS', 'X', 'ACC', 'MAX', 'HDy', 'PCC', 'CC', 'PACC']","[np.float64(0.10042999999999991), np.float64(0.10380349999999992), np.float64(0.11221299999999995), np.float64(0.1264235), np.float64(0.13342), np.float64(0.14522049999999997), np.float64(0.22146500000000016), np.float64(0.24445599999999992), np.float64(0.2714569999999998), np.float64(0.33297850000000023), np.float64(0.362135)]","[np.float64(0.07345), np.float64(0.0741), np.float64(0.07585), np.float64(0.0829), np.float64(0.097), np.float64(0.10124999999999999), np.float64(0.10425), np.float64(0.1548), np.float64(0.23205), np.float64(0.24315000000000003), np.float64(0.40945)]"
covtype_reduced,"['SMM', 'HDy', 'SORD', 'DyS', 'X', 'MAX', 'PCC', 'ACC', 'MS', 'PACC', 'CC']","['DyS', 'SORD', 'SMM', 'MS', 'MAX', 'X', 'ACC', 'HDy', 'PACC', 'CC', 'PCC']","[np.float64(0.08578599999999993), np.float64(0.09313799999999997), np.float64(0.1058384999999999), np.float64(0.1234040000000001), np.float64(0.13296299999999991), np.float64(0.13703900000000005), np.float64(0.21385800000000013), np.float64(0.2585484999999999), np.float64(0.2991445), np.float64(0.36619399999999985), np.float64(0.38250550000000016)]","[np.float64(0.05285000000000001), np.float64(0.053750000000000006), np.float64(0.0541), np.float64(0.05645), np.float64(0.06235), np.float64(0.0631), np.float64(0.065), np.float64(0.066), np.float64(0.11645000000000001), np.float64(0.1277), np.float64(0.18105)]"
default_credit_card_clients,"['SMM', 'HDy', 'SORD', 'MAX', 'X', 'DyS', 'PCC', 'PACC', 'MS', 'ACC', 'CC']","['SORD', 'SMM', 'MAX', 'DyS', 'MS', 'X', 'ACC', 'HDy', 'PCC', 'CC', 'PACC']","[np.float64(0.08587799999999994), np.float64(0.09416000000000001), np.float64(0.10093549999999991), np.float64(0.1148505), np.float64(0.13205850000000002), np.float64(0.13846750000000005), np.float64(0.1971455), np.float64(0.27576200000000006), np.float64(0.29618599999999995), np.float64(0.29748899999999984), np.float64(0.31540300000000004)]","[np.float64(0.07555), np.float64(0.07635), np.float64(0.07930000000000001), np.float64(0.08105), np.float64(0.0952), np.float64(0.09755), np.float64(0.10610000000000001), np.float64(0.1381), np.float64(0.28855), np.float64(0.37545), np.float64(0.4547)]"
eeg,"['SMM', 'DyS', 'SORD', 'X', 'MAX', 'HDy', 'PCC', 'MS', 'ACC', 'PACC', 'CC']","['HDy', 'SORD', 'DyS', 'SMM', 'PACC', 'PCC', 'MAX', 'X', 'ACC', 'CC', 'MS']","[np.float64(0.07888549999999996), np.float64(0.07978500000000008), np.float64(0.08024949999999999), np.float64(0.08144850000000005), np.float64(0.08629199999999998), np.float64(0.08976549999999998), np.float64(0.20752700000000004), np.float64(0.27156800000000003), np.float64(0.27860450000000003), np.float64(0.32264500000000007), np.float64(0.34690300000000024)]","[np.float64(0.19845000000000002), np.float64(0.22195), np.float64(0.22475), np.float64(0.2407), np.float64(0.26139999999999997), np.float64(0.26139999999999997), np.float64(0.28635), np.float64(0.28635), np.float64(0.49985), np.float64(0.49985), np.float64(0.49985)]"
