1,2,3,4,5,6,7,8,9
0.027432,3.0,0.404255,0.061036,0.548944,0.003467,0.422915,0.414912,0.0
0.014247,4.0,0.93617,0.040591,0.514281,0.003467,0.422915,0.414912,0.0
0.425424,3.0,0.957447,0.117599,0.546861,0.003467,0.422915,0.414912,1.0
0.443343,3.0,1.0,0.043383,0.441982,0.002838,0.418695,0.494737,0.0
0.000442,5.0,0.93617,0.106161,0.458941,0.003467,0.422915,0.414912,1.0
0.438343,1.0,0.404255,0.096944,0.544927,0.003467,0.422915,0.414912,1.0
0.903146,7.0,0.531915,0.089138,0.389021,0.004657,0.407043,0.632895,1.0
0.885138,3.0,0.170213,0.03978,0.195329,0.002559,0.249612,0.675439,0.0
0.425025,1.0,0.148936,0.055242,0.105028,0.003467,0.422915,0.414912,0.0
0.014291,5.0,0.106383,0.060406,0.320887,0.003467,0.422915,0.414912,0.0
0.013982,5.0,1.0,0.057464,0.585838,0.003467,0.422915,0.414912,0.0
0.452281,3.0,0.978723,0.037769,0.391996,0.002036,0.450803,0.695614,0.0
0.008938,2.0,0.170213,0.073616,0.253942,0.003467,0.422915,0.414912,0.0
0.005,4.0,0.510638,0.042422,0.519935,0.003467,0.422915,0.414912,0.0
0.013141,7.0,0.978723,0.041401,0.349598,0.003467,0.422915,0.414912,0.0
0.425822,4.0,0.638298,0.089618,0.588664,0.003467,0.422915,0.414912,1.0
0.451971,3.0,0.170213,0.036147,0.315085,0.001951,0.307095,0.853509,0.0
0.429892,7.0,0.914894,0.07923,0.414609,0.003467,0.422915,0.414912,1.0
0.867307,3.0,0.659574,0.045755,0.431717,0.003056,0.480062,0.518421,0.0
0.027432,3.0,0.787234,0.05215,0.442279,0.003467,0.422915,0.414912,0.0
0.460201,2.0,0.255319,0.02648,0.245611,0.001807,0.219575,0.606579,0.0
0.009203,1.0,0.531915,0.043203,0.617525,0.003467,0.422915,0.414912,0.0
0.017566,3.0,0.12766,0.040651,0.19756,0.003467,0.422915,0.414912,0.0
0.008982,3.0,0.021277,0.059595,0.517852,0.003467,0.422915,0.414912,0.0
0.021902,3.0,0.12766,0.046445,0.206189,0.003467,0.422915,0.414912,0.0
0.004425,5.0,0.489362,0.050168,0.533918,0.003467,0.422915,0.414912,0.0
0.00969,5.0,0.680851,0.041732,0.563523,0.003467,0.422915,0.414912,0.0
0.872307,1.0,0.276596,0.024469,0.181047,0.001629,0.173744,0.87193,0.0
0.438388,2.0,0.914894,0.056293,0.450015,0.003467,0.422915,0.414912,0.0
0.881465,4.0,0.723404,0.028942,0.505058,0.002005,0.614707,0.219737,0.0
0.434229,5.0,0.808511,0.049117,0.464445,0.003467,0.422915,0.414912,0.0
0.486837,4.0,0.531915,0.05305,0.494793,0.003779,0.483687,0.257456,0.0
0.898102,6.0,0.893617,0.029362,0.585838,0.001942,0.542724,0.447368,0.0
0.898013,2.0,0.148936,0.025459,0.252603,0.001674,0.2913,0.683333,0.0
0.031857,5.0,0.638298,0.058394,0.436477,0.003467,0.422915,0.414912,0.0
0.438742,3.0,0.0,0.05248,0.251562,0.003467,0.422915,0.414912,0.0
0.455865,1.0,0.553191,0.033475,0.358524,0.002233,0.358364,0.738596,0.0
0.004779,6.0,0.489362,0.062598,0.416989,0.003467,0.422915,0.414912,0.0
0.867705,1.0,0.595745,0.036568,0.303332,0.002293,0.248835,0.878509,0.0
0.465245,4.0,0.638298,0.051699,0.459982,0.003517,0.488866,0.135526,1.0
0.004292,2.0,0.553191,0.046806,0.508628,0.003467,0.422915,0.414912,0.0
0.442503,5.0,0.106383,0.046535,0.273728,0.003074,0.340497,0.500526,0.0
0.868147,4.0,0.361702,0.043353,0.652336,0.00286,0.520715,0.560088,1.0
0.876997,7.0,0.404255,0.036238,0.381583,0.002403,0.319782,0.532018,0.0
0.885448,3.0,1.0,0.050108,0.517257,0.003369,0.507509,0.564474,0.0
0.004292,2.0,0.340426,0.046806,0.586433,0.003467,0.422915,0.414912,0.0
0.02699,7.0,0.787234,0.095052,0.355846,0.003467,0.422915,0.414912,0.0
0.018495,3.0,0.085106,0.044494,0.377715,0.003467,0.422915,0.414912,0.0
0.88558,6.0,0.680851,0.031374,0.465933,0.002206,0.66028,0.025877,0.0
0.872218,6.0,0.93617,0.033806,0.450015,0.002029,0.287675,0.851316,0.0
0.89381,4.0,0.574468,0.059085,0.608747,0.004059,0.683066,0.332895,1.0
0.455511,7.0,0.021277,0.033025,0.437667,0.002266,0.343604,0.690351,0.0
0.01792,4.0,0.06383,0.074727,0.354359,0.003467,0.422915,0.414912,0.0
0.434229,5.0,0.93617,0.051039,0.434692,0.003467,0.422915,0.414912,0.0
0.898058,3.0,0.744681,0.082743,0.761976,0.005459,0.687727,0.479825,1.0
0.013451,7.0,0.893617,0.051249,0.456561,0.003467,0.422915,0.414912,0.0
0.018672,7.0,0.319149,0.077039,0.274472,0.003467,0.422915,0.414912,1.0
0.433521,3.0,0.446809,0.071064,0.532282,0.003467,0.422915,0.414912,1.0
0.893987,1.0,0.787234,0.072655,0.723297,0.004796,0.462973,0.75307,1.0
0.425689,2.0,0.06383,0.056923,0.151592,0.003467,0.422915,0.414912,0.0
0.898279,1.0,0.234043,0.028822,0.165576,0.001861,0.219316,0.838158,0.0
0.009159,7.0,0.319149,0.088838,0.369533,0.003467,0.422915,0.414912,1.0
0.005354,5.0,0.87234,0.042512,0.606218,0.003467,0.422915,0.414912,0.0
0.008672,3.0,0.361702,0.113516,0.603987,0.003467,0.422915,0.414912,1.0
0.465555,4.0,0.489362,0.053681,0.498512,0.003847,0.394614,0.192544,1.0
0.425025,1.0,0.787234,0.083554,0.35302,0.003467,0.422915,0.414912,1.0
0.469625,6.0,0.06383,0.047466,0.188188,0.003191,0.333765,0.47193,0.0
0.428919,6.0,0.553191,0.086105,0.370723,0.003467,0.422915,0.414912,1.0
0.91142,6.0,0.808511,0.044314,0.428146,0.002904,0.289228,0.738596,0.0
0.881156,4.0,0.170213,0.02663,0.1385,0.001776,0.253237,0.760526,0.0
0.42476,2.0,0.468085,0.137685,0.475454,0.003467,0.422915,0.414912,1.0
0.013849,2.0,0.446809,0.087426,0.602946,0.003467,0.422915,0.414912,1.0
0.447414,5.0,0.744681,0.10502,0.817168,0.007117,0.734852,0.366667,1.0
0.912438,1.0,0.425532,0.043353,0.360458,0.002871,0.283532,0.664035,1.0
0.004469,6.0,0.319149,0.07902,0.389914,0.003467,0.422915,0.414912,1.0
0.023185,4.0,0.787234,0.07944,0.445254,0.003467,0.422915,0.414912,1.0
0.031592,6.0,0.297872,0.056833,0.271348,0.003467,0.422915,0.414912,0.0
0.004469,6.0,0.914894,0.043833,0.389914,0.003467,0.422915,0.414912,0.0
0.425247,6.0,0.87234,0.077369,0.309729,0.003467,0.422915,0.414912,1.0
0.027167,4.0,0.489362,0.049598,0.491372,0.003467,0.422915,0.414912,0.0
0.473386,7.0,0.787234,0.030113,0.375632,0.002071,0.267737,0.575439,0.0
0.867307,3.0,0.680851,0.05278,0.521125,0.003527,0.494821,0.464912,0.0
0.022964,6.0,0.340426,0.075057,0.291729,0.003467,0.422915,0.414912,1.0
0.885182,4.0,0.617021,0.038669,0.504612,0.002678,0.59477,0.212719,0.0
0.902925,2.0,0.404255,0.087426,0.543588,0.00591,0.649922,0.445614,1.0
0.439051,3.0,0.510638,0.053441,0.391401,0.003467,0.422915,0.414912,0.0
0.447591,2.0,0.553191,0.084274,0.633889,0.005779,0.610564,0.247368,1.0
0.424848,4.0,0.212766,0.076138,0.29753,0.003467,0.422915,0.414912,1.0
0.898412,4.0,0.319149,0.130809,0.682386,0.008656,0.682289,0.391228,1.0
0.0273,7.0,0.319149,0.074817,0.219131,0.003467,0.422915,0.414912,1.0
0.425645,1.0,0.553191,0.085895,0.392443,0.003467,0.422915,0.414912,1.0
0.474094,2.0,1.0,0.029723,0.385004,0.001988,0.277576,0.75307,0.0
0.894429,4.0,0.021277,0.06584,0.458941,0.004144,0.450544,0.611842,0.0
0.031769,3.0,0.212766,0.074817,0.303927,0.003467,0.422915,0.414912,1.0
0.437768,2.0,0.744681,0.044134,0.438114,0.003467,0.422915,0.414912,0.0
