V1,V2,V3
85.0,670.0,0.597241
862.0,710.0,0.462056
245.0,86.0,0.546176
752.0,24.0,0.494209
182.0,37.0,0.47513
818.0,29.0,0.389962
956.0,26.0,0.355122
358.0,38.0,0.389436
398.0,43.0,0.354887
938.0,58.0,0.388159
836.0,61.0,0.362605
735.0,73.0,0.377228
802.0,95.0,0.450836
951.0,79.0,0.422121
830.0,81.0,0.384159
131.0,89.0,0.384797
171.0,94.0,0.431496
511.0,100.0,0.501261
128.0,104.0,0.4042
906.0,100.0,0.351349
350.0,117.0,0.469917
397.0,111.0,0.377415
980.0,134.0,0.565381
513.0,142.0,0.374119
522.0,136.0,0.368818
894.0,135.0,0.363331
716.0,147.0,0.434911
637.0,142.0,0.368778
402.0,142.0,0.351663
665.0,147.0,0.358845
893.0,156.0,0.432933
789.0,166.0,0.454515
750.0,164.0,0.389907
396.0,186.0,0.390978
532.0,193.0,0.577974
172.0,174.0,0.39433
888.0,177.0,0.406094
225.0,216.0,0.506526
948.0,180.0,0.363023
740.0,185.0,0.469299
284.0,196.0,0.402087
805.0,204.0,0.433021
173.0,210.0,0.402423
897.0,208.0,0.39882
950.0,220.0,0.424909
292.0,214.0,0.370274
663.0,214.0,0.359842
278.0,216.0,0.355045
736.0,232.0,0.507509
701.0,223.0,0.448977
751.0,322.0,0.520724
867.0,244.0,0.468041
175.0,241.0,0.45284
524.0,238.0,0.39622
440.0,243.0,0.435973
700.0,241.0,0.362975
398.0,251.0,0.411814
323.0,248.0,0.438187
892.0,254.0,0.384228
941.0,265.0,0.470925
556.0,264.0,0.365299
242.0,284.0,0.482052
658.0,279.0,0.460764
425.0,286.0,0.396742
122.0,288.0,0.420255
325.0,293.0,0.427393
882.0,284.0,0.47235
213.0,321.0,0.547802
163.0,297.0,0.422359
613.0,297.0,0.367841
983.0,297.0,0.39234
495.0,298.0,0.374115
704.0,303.0,0.38258
563.0,308.0,0.461712
673.0,375.0,0.588631
411.0,313.0,0.409732
115.0,312.0,0.364401
604.0,321.0,0.360095
436.0,324.0,0.358418
158.0,334.0,0.377017
417.0,332.0,0.355461
380.0,332.0,0.352955
318.0,337.0,0.403125
848.0,353.0,0.388669
604.0,338.0,0.352381
940.0,397.0,0.584829
593.0,372.0,0.485265
236.0,354.0,0.352864
559.0,358.0,0.362982
187.0,464.0,0.593108
158.0,419.0,0.513453
241.0,370.0,0.380445
983.0,376.0,0.37093
375.0,398.0,0.49401
454.0,385.0,0.434652
309.0,387.0,0.402007
94.0,386.0,0.385704
122.0,387.0,0.382026
513.0,397.0,0.409066
502.0,423.0,0.45817
90.0,433.0,0.510419
809.0,493.0,0.537652
577.0,430.0,0.36944
885.0,438.0,0.527169
780.0,442.0,0.413802
573.0,449.0,0.386598
113.0,453.0,0.398933
543.0,456.0,0.410766
590.0,454.0,0.367515
712.0,471.0,0.46409
429.0,456.0,0.355045
656.0,463.0,0.357696
366.0,472.0,0.413353
651.0,479.0,0.35831
490.0,481.0,0.358486
678.0,482.0,0.371031
440.0,491.0,0.406498
644.0,510.0,0.518075
136.0,550.0,0.580173
775.0,510.0,0.462103
884.0,534.0,0.456362
854.0,516.0,0.498053
293.0,519.0,0.38285
611.0,516.0,0.370503
68.0,533.0,0.406434
688.0,533.0,0.392191
970.0,530.0,0.354652
537.0,536.0,0.392683
626.0,552.0,0.42201
544.0,550.0,0.355302
169.0,557.0,0.40446
678.0,579.0,0.637516
74.0,577.0,0.417663
762.0,572.0,0.389168
528.0,583.0,0.498308
876.0,574.0,0.418074
786.0,583.0,0.438665
166.0,574.0,0.359212
558.0,607.0,0.486907
162.0,607.0,0.466069
282.0,594.0,0.356724
764.0,634.0,0.505453
838.0,612.0,0.464954
73.0,624.0,0.505802
500.0,610.0,0.388089
282.0,611.0,0.368378
130.0,633.0,0.48639
711.0,625.0,0.57985
284.0,620.0,0.352588
534.0,662.0,0.578779
825.0,641.0,0.373833
148.0,684.0,0.476158
675.0,651.0,0.362396
814.0,664.0,0.461134
192.0,660.0,0.354034
209.0,671.0,0.396554
271.0,673.0,0.386573
972.0,676.0,0.398472
655.0,676.0,0.380407
17.0,681.0,0.407223
231.0,684.0,0.390099
273.0,690.0,0.375361
636.0,704.0,0.504715
718.0,694.0,0.516154
484.0,703.0,0.488774
605.0,693.0,0.410197
750.0,694.0,0.400764
518.0,697.0,0.379034
68.0,699.0,0.376539
794.0,714.0,0.533628
216.0,708.0,0.374824
123.0,725.0,0.397246
745.0,719.0,0.470703
510.0,724.0,0.402645
967.0,723.0,0.422206
629.0,735.0,0.450639
68.0,763.0,0.534214
188.0,766.0,0.484316
504.0,743.0,0.424355
988.0,745.0,0.393356
940.0,750.0,0.404279
500.0,768.0,0.543352
552.0,763.0,0.435193
142.0,810.0,0.517587
146.0,771.0,0.361709
861.0,778.0,0.428825
264.0,781.0,0.373383
582.0,781.0,0.379028
951.0,785.0,0.395548
733.0,811.0,0.47118
482.0,802.0,0.445586
579.0,798.0,0.373799
880.0,792.0,0.354333
863.0,812.0,0.559534
168.0,803.0,0.367843
69.0,811.0,0.38838
576.0,818.0,0.352942
956.0,824.0,0.441546
17.0,821.0,0.388361
69.0,825.0,0.381763
200.0,827.0,0.416828
522.0,832.0,0.374791
104.0,830.0,0.362198
576.0,836.0,0.352768
197.0,852.0,0.354122
481.0,853.0,0.406261
64.0,867.0,0.518208
627.0,860.0,0.503119
133.0,864.0,0.417208
266.0,861.0,0.374587
197.0,870.0,0.409493
322.0,866.0,0.369837
375.0,872.0,0.444621
141.0,892.0,0.50533
545.0,880.0,0.387082
771.0,883.0,0.373092
990.0,884.0,0.375309
967.0,897.0,0.439132
102.0,895.0,0.399042
304.0,898.0,0.366548
766.0,906.0,0.538251
713.0,908.0,0.385521
1000.0,909.0,0.416
48.0,916.0,0.363739
977.0,927.0,0.607256
140.0,943.0,0.487626
724.0,928.0,0.479971
642.0,933.0,0.489174
756.0,926.0,0.35151
356.0,934.0,0.369545
860.0,936.0,0.35279
810.0,941.0,0.360103
206.0,952.0,0.362363
924.0,969.0,0.463544
790.0,969.0,0.427173
366.0,972.0,0.397974
427.0,974.0,0.424465
138.0,985.0,0.386273
515.0,987.0,0.351771
643.0,1001.0,0.4439
755.0,1002.0,0.465021
284.0,120.0,0.701262
267.0,891.0,0.567389
389.0,911.0,0.41722
843.0,26.0,0.40243
622.0,30.0,0.360207
527.0,32.0,0.372178
899.0,58.0,0.376089
916.0,60.0,0.379969
415.0,71.0,0.418164
542.0,67.0,0.422054
799.0,73.0,0.431699
600.0,95.0,0.520882
227.0,89.0,0.449819
16.0,98.0,0.406806
528.0,133.0,0.64975
786.0,120.0,0.480296
464.0,119.0,0.402442
692.0,146.0,0.413749
620.0,146.0,0.396178
698.0,175.0,0.461131
448.0,188.0,0.415933
927.0,186.0,0.367933
262.0,201.0,0.526596
63.0,197.0,0.393101
625.0,217.0,0.469442
902.0,203.0,0.367184
958.0,211.0,0.457735
554.0,212.0,0.386992
32.0,216.0,0.352439
552.0,229.0,0.400546
551.0,253.0,0.395922
580.0,259.0,0.417743
962.0,261.0,0.354194
92.0,301.0,0.382495
71.0,328.0,0.416403
956.0,320.0,0.359372
694.0,352.0,0.367846
16.0,396.0,0.364543
58.0,423.0,0.50807
684.0,418.0,0.35072
383.0,433.0,0.384479
673.0,435.0,0.371919
44.0,448.0,0.350971
41.0,462.0,0.421234
39.0,488.0,0.407375
994.0,518.0,0.374593
109.0,582.0,0.514063
91.0,613.0,0.417602
21.0,625.0,0.362594
295.0,640.0,0.365433
160.0,647.0,0.356944
722.0,661.0,0.384021
350.0,887.0,0.408636
114.0,898.0,0.359833
127.0,912.0,0.36465
394.0,930.0,0.406193
470.0,946.0,0.368704
256.0,973.0,0.460675
354.0,1007.0,0.398965
129.0,275.0,0.508175
852.0,333.0,0.403728
378.0,665.0,0.688612
212.0,748.0,0.575847
130.0,881.0,0.606904
38.0,16.0,0.419549
272.0,21.0,0.462038
491.0,36.0,0.395501
95.0,42.0,0.362421
808.0,68.0,0.496341
334.0,52.0,0.351172
665.0,71.0,0.455343
858.0,105.0,0.637036
316.0,76.0,0.351515
350.0,84.0,0.364844
79.0,87.0,0.359163
266.0,94.0,0.440833
322.0,90.0,0.35554
546.0,104.0,0.526284
353.0,107.0,0.425876
420.0,115.0,0.464373
899.0,114.0,0.41564
89.0,120.0,0.400753
708.0,117.0,0.361934
965.0,122.0,0.373867
515.0,135.0,0.40815
961.0,134.0,0.376028
202.0,134.0,0.358161
358.0,139.0,0.357138
715.0,144.0,0.422228
889.0,144.0,0.443193
355.0,157.0,0.45906
547.0,156.0,0.369335
585.0,180.0,0.506224
274.0,173.0,0.362037
51.0,177.0,0.400905
18.0,193.0,0.421135
911.0,188.0,0.386639
306.0,202.0,0.469744
78.0,203.0,0.366167
241.0,215.0,0.426635
739.0,218.0,0.460992
117.0,215.0,0.36641
908.0,221.0,0.458951
376.0,226.0,0.494275
945.0,224.0,0.399469
829.0,229.0,0.494706
322.0,242.0,0.52192
76.0,229.0,0.389488
39.0,238.0,0.450109
646.0,234.0,0.405839
388.0,244.0,0.468184
261.0,245.0,0.422447
106.0,255.0,0.443356
642.0,264.0,0.404397
374.0,276.0,0.408269
640.0,281.0,0.373261
353.0,293.0,0.412683
107.0,297.0,0.404991
327.0,296.0,0.368865
640.0,295.0,0.390214
704.0,305.0,0.441018
334.0,313.0,0.438576
54.0,330.0,0.520877
243.0,327.0,0.414969
276.0,338.0,0.37708
92.0,348.0,0.446089
336.0,363.0,0.605017
47.0,355.0,0.38346
531.0,364.0,0.390611
547.0,377.0,0.366238
77.0,384.0,0.384661
590.0,383.0,0.429399
59.0,396.0,0.438663
110.0,398.0,0.515192
268.0,395.0,0.45914
555.0,396.0,0.440303
91.0,412.0,0.36123
88.0,429.0,0.414757
315.0,434.0,0.423412
606.0,430.0,0.364977
113.0,444.0,0.540702
277.0,446.0,0.523248
60.0,451.0,0.472498
168.0,442.0,0.434008
618.0,436.0,0.355973
229.0,449.0,0.389323
396.0,452.0,0.371444
130.0,454.0,0.353778
330.0,466.0,0.390881
135.0,462.0,0.362898
898.0,472.0,0.399806
399.0,479.0,0.485059
138.0,474.0,0.353959
304.0,484.0,0.416056
198.0,487.0,0.426002
118.0,494.0,0.430034
219.0,492.0,0.389715
972.0,494.0,0.453977
897.0,497.0,0.467567
264.0,512.0,0.643177
311.0,503.0,0.421323
200.0,500.0,0.358023
110.0,506.0,0.366737
351.0,506.0,0.410345
390.0,512.0,0.367925
142.0,526.0,0.496128
902.0,522.0,0.448549
748.0,521.0,0.362237
180.0,548.0,0.470607
294.0,536.0,0.416398
387.0,538.0,0.472772
422.0,544.0,0.535101
472.0,542.0,0.358824
918.0,543.0,0.387153
670.0,555.0,0.412452
908.0,576.0,0.413407
315.0,564.0,0.394439
897.0,565.0,0.362164
94.0,577.0,0.448275
425.0,576.0,0.402939
221.0,594.0,0.427421
96.0,590.0,0.359835
335.0,599.0,0.475348
920.0,593.0,0.367617
303.0,600.0,0.405873
894.0,605.0,0.392275
462.0,602.0,0.366711
863.0,613.0,0.38144
121.0,627.0,0.437098
920.0,632.0,0.510061
783.0,631.0,0.514032
678.0,638.0,0.363695
132.0,659.0,0.371403
408.0,658.0,0.352318
410.0,667.0,0.388613
906.0,665.0,0.362447
896.0,688.0,0.468147
561.0,690.0,0.393612
401.0,697.0,0.372325
599.0,699.0,0.427448
915.0,708.0,0.356822
948.0,711.0,0.397601
631.0,717.0,0.419424
981.0,725.0,0.442254
669.0,743.0,0.553804
428.0,729.0,0.383816
787.0,744.0,0.508421
396.0,736.0,0.350042
460.0,741.0,0.452818
756.0,749.0,0.396014
707.0,767.0,0.515727
854.0,757.0,0.356458
862.0,769.0,0.376121
775.0,791.0,0.522464
893.0,775.0,0.377938
461.0,776.0,0.361355
371.0,803.0,0.557746
819.0,818.0,0.578872
293.0,803.0,0.369848
498.0,807.0,0.389878
917.0,816.0,0.65753
993.0,822.0,0.541242
19.0,830.0,0.472119
384.0,820.0,0.380872
622.0,817.0,0.454856
639.0,828.0,0.463739
913.0,837.0,0.395859
672.0,843.0,0.582916
564.0,853.0,0.508593
86.0,846.0,0.438485
302.0,843.0,0.361888
410.0,850.0,0.550124
54.0,852.0,0.402649
991.0,857.0,0.418395
825.0,882.0,0.608781
254.0,856.0,0.359119
528.0,859.0,0.400534
785.0,859.0,0.408558
184.0,869.0,0.386038
645.0,866.0,0.37246
43.0,881.0,0.599167
74.0,872.0,0.370913
201.0,875.0,0.410319
571.0,884.0,0.467709
920.0,873.0,0.357034
920.0,886.0,0.355571
323.0,916.0,0.534479
788.0,890.0,0.387418
71.0,899.0,0.388347
881.0,904.0,0.372619
856.0,914.0,0.49566
362.0,909.0,0.370791
615.0,922.0,0.508911
676.0,915.0,0.365932
27.0,932.0,0.4624
58.0,929.0,0.360108
916.0,936.0,0.404549
210.0,934.0,0.356493
674.0,940.0,0.533666
95.0,967.0,0.551251
66.0,948.0,0.457707
210.0,946.0,0.362557
719.0,950.0,0.430323
118.0,949.0,0.371364
294.0,955.0,0.357077
918.0,960.0,0.498339
210.0,960.0,0.389684
597.0,958.0,0.375015
606.0,958.0,0.357584
676.0,960.0,0.414837
118.0,974.0,0.506813
38.0,982.0,0.520915
891.0,965.0,0.482673
984.0,963.0,0.390987
234.0,965.0,0.384411
545.0,975.0,0.498718
995.0,978.0,0.462269
294.0,970.0,0.372479
427.0,992.0,0.565336
616.0,971.0,0.40498
714.0,977.0,0.504866
668.0,980.0,0.487057
916.0,997.0,0.575847
576.0,984.0,0.381805
847.0,989.0,0.381153
798.0,991.0,0.353428
144.0,1004.0,0.480492
706.0,1001.0,0.361306
590.0,1006.0,0.478385
841.0,1007.0,0.472507
362.0,196.0,0.662118
493.0,62.0,0.658048
482.0,37.0,0.631692
583.0,200.0,0.528885
386.0,397.0,0.69703
439.0,21.0,0.665181
559.0,145.0,0.558765
169.0,609.0,0.479258
95.0,284.0,0.588388
134.0,275.0,0.588218
710.0,35.0,0.646028
251.0,26.0,0.530686
335.0,37.0,0.626117
530.0,16.0,0.443073
769.0,18.0,0.438228
977.0,19.0,0.402227
1004.0,20.0,0.380789
92.0,21.0,0.405026
896.0,22.0,0.364408
567.0,33.0,0.498747
824.0,41.0,0.455244
516.0,33.0,0.600458
920.0,30.0,0.365347
772.0,56.0,0.603243
292.0,48.0,0.422788
547.0,51.0,0.377569
947.0,51.0,0.466953
383.0,58.0,0.632978
882.0,93.0,0.582703
620.0,60.0,0.396604
817.0,65.0,0.55745
989.0,101.0,0.567724
440.0,66.0,0.350028
313.0,75.0,0.457371
204.0,92.0,0.578898
143.0,86.0,0.633483
834.0,86.0,0.500032
929.0,90.0,0.453671
416.0,83.0,0.375222
816.0,86.0,0.400235
352.0,94.0,0.469819
408.0,91.0,0.354288
32.0,92.0,0.355932
428.0,105.0,0.454539
675.0,102.0,0.371602
71.0,109.0,0.40416
346.0,122.0,0.455528
19.0,132.0,0.513141
410.0,141.0,0.517887
453.0,129.0,0.4292
641.0,130.0,0.42192
909.0,141.0,0.426997
236.0,140.0,0.36507
773.0,145.0,0.421932
851.0,153.0,0.468611
680.0,148.0,0.351456
998.0,151.0,0.374411
444.0,155.0,0.39472
875.0,168.0,0.556708
326.0,168.0,0.459362
478.0,165.0,0.372538
1004.0,169.0,0.378378
924.0,187.0,0.511131
453.0,179.0,0.357928
740.0,176.0,0.357233
778.0,177.0,0.403619
823.0,179.0,0.366315
638.0,180.0,0.358743
633.0,194.0,0.394039
837.0,199.0,0.540507
814.0,221.0,0.43133
283.0,200.0,0.381973
960.0,210.0,0.455392
192.0,223.0,0.427367
437.0,248.0,0.773559
633.0,216.0,0.410588
27.0,231.0,0.463815
396.0,223.0,0.423974
946.0,232.0,0.548822
256.0,227.0,0.399839
923.0,222.0,0.369399
493.0,227.0,0.409264
964.0,239.0,0.369578
761.0,250.0,0.587334
494.0,247.0,0.389139
382.0,247.0,0.401855
851.0,250.0,0.556698
160.0,262.0,0.479161
21.0,283.0,0.569558
511.0,276.0,0.453687
917.0,270.0,0.446824
222.0,279.0,0.541485
313.0,276.0,0.417919
774.0,273.0,0.353036
902.0,307.0,0.704201
173.0,284.0,0.417509
770.0,285.0,0.510111
544.0,284.0,0.356043
124.0,299.0,0.525994
805.0,307.0,0.429851
579.0,322.0,0.568591
158.0,322.0,0.694817
512.0,315.0,0.444517
767.0,308.0,0.387505
414.0,309.0,0.3751
367.0,320.0,0.455439
134.0,316.0,0.362015
207.0,316.0,0.400872
98.0,320.0,0.367206
457.0,323.0,0.452742
886.0,329.0,0.54553
983.0,328.0,0.412124
102.0,332.0,0.401585
263.0,338.0,0.424795
389.0,338.0,0.391243
493.0,334.0,0.353585
956.0,374.0,0.695636
444.0,394.0,0.561275
524.0,345.0,0.354951
132.0,354.0,0.379318
19.0,354.0,0.481882
282.0,366.0,0.486344
986.0,352.0,0.365061
648.0,353.0,0.354669
740.0,364.0,0.443523
773.0,376.0,0.459178
141.0,377.0,0.407572
195.0,381.0,0.424203
587.0,380.0,0.44677
837.0,382.0,0.593748
623.0,376.0,0.362006
917.0,403.0,0.491904
645.0,403.0,0.447725
822.0,404.0,0.412015
507.0,409.0,0.473895
872.0,413.0,0.558329
984.0,434.0,0.496134
215.0,420.0,0.360549
775.0,455.0,0.53116
825.0,443.0,0.509182
485.0,459.0,0.475768
302.0,447.0,0.378449
346.0,474.0,0.546872
440.0,544.0,0.706703
390.0,458.0,0.35971
862.0,462.0,0.357153
163.0,477.0,0.429832
398.0,484.0,0.482946
809.0,481.0,0.446585
248.0,486.0,0.356624
286.0,511.0,0.489136
820.0,511.0,0.431672
82.0,493.0,0.36822
787.0,499.0,0.41868
500.0,523.0,0.470387
577.0,504.0,0.35536
980.0,511.0,0.358906
772.0,518.0,0.353812
773.0,529.0,0.432771
732.0,552.0,0.502022
804.0,566.0,0.492016
565.0,558.0,0.406097
520.0,572.0,0.460676
342.0,570.0,0.46659
694.0,574.0,0.383673
80.0,575.0,0.400271
736.0,577.0,0.475905
376.0,580.0,0.428755
566.0,587.0,0.484061
248.0,595.0,0.440476
409.0,604.0,0.541816
702.0,596.0,0.414796
485.0,624.0,0.51041
829.0,605.0,0.531142
557.0,610.0,0.427198
301.0,630.0,0.509948
774.0,621.0,0.377088
734.0,633.0,0.42781
349.0,630.0,0.35369
16.0,632.0,0.380951
830.0,646.0,0.439272
554.0,646.0,0.365029
800.0,646.0,0.375044
441.0,659.0,0.407449
511.0,656.0,0.392428
794.0,666.0,0.498878
393.0,665.0,0.481512
693.0,669.0,0.411445
428.0,669.0,0.350649
246.0,677.0,0.470769
560.0,676.0,0.404501
415.0,724.0,0.653578
704.0,697.0,0.56355
817.0,685.0,0.37752
564.0,691.0,0.384653
390.0,701.0,0.423352
526.0,706.0,0.364513
735.0,720.0,0.456553
852.0,721.0,0.496598
491.0,717.0,0.403076
368.0,811.0,0.644536
773.0,729.0,0.393952
809.0,728.0,0.363751
599.0,763.0,0.515986
541.0,732.0,0.352884
297.0,741.0,0.416826
773.0,744.0,0.426668
877.0,744.0,0.441599
640.0,746.0,0.397544
464.0,748.0,0.369843
497.0,750.0,0.388173
244.0,791.0,0.675927
738.0,755.0,0.361323
778.0,765.0,0.495992
175.0,767.0,0.378478
518.0,777.0,0.609915
454.0,770.0,0.415129
909.0,790.0,0.609615
872.0,772.0,0.357572
879.0,776.0,0.369044
82.0,778.0,0.363953
466.0,799.0,0.530832
754.0,798.0,0.401824
335.0,801.0,0.369548
615.0,823.0,0.452863
772.0,816.0,0.474635
920.0,818.0,0.435294
746.0,823.0,0.488993
496.0,833.0,0.542748
314.0,830.0,0.35043
405.0,837.0,0.457189
942.0,836.0,0.459613
795.0,854.0,0.516396
191.0,839.0,0.446721
538.0,841.0,0.361634
697.0,859.0,0.41489
144.0,864.0,0.469485
123.0,864.0,0.388816
233.0,872.0,0.438107
892.0,872.0,0.363417
76.0,877.0,0.359952
301.0,880.0,0.426881
754.0,894.0,0.511425
673.0,945.0,0.58476
111.0,884.0,0.382427
142.0,886.0,0.402303
289.0,934.0,0.539517
598.0,898.0,0.427756
895.0,890.0,0.469934
180.0,902.0,0.53353
940.0,900.0,0.35923
388.0,914.0,0.476793
45.0,915.0,0.435993
736.0,921.0,0.460807
994.0,925.0,0.525529
511.0,922.0,0.418305
413.0,940.0,0.441612
196.0,979.0,0.730777
492.0,954.0,0.390411
993.0,967.0,0.530508
29.0,986.0,0.590688
246.0,959.0,0.369572
779.0,961.0,0.375848
242.0,970.0,0.362285
370.0,979.0,0.505652
732.0,979.0,0.44488
467.0,987.0,0.47354
625.0,989.0,0.373455
136.0,999.0,0.504719
402.0,987.0,0.359034
702.0,987.0,0.372092
379.0,999.0,0.397369
831.0,1003.0,0.452325
369.0,118.0,0.722909
207.0,175.0,0.692195
419.0,344.0,0.63398
594.0,317.0,0.785972
661.0,268.0,0.794298
622.0,174.0,0.65811
537.0,65.0,0.569669
560.0,477.0,0.597601
694.0,268.0,0.610791
781.0,57.0,0.74011
814.0,421.0,0.775729
960.0,596.0,0.75919
850.0,573.0,0.560749
54.0,32.0,0.604527
176.0,30.0,0.640575
263.0,52.0,0.628308
444.0,16.0,0.35536
613.0,22.0,0.548044
800.0,19.0,0.5864
901.0,21.0,0.38199
135.0,36.0,0.461049
987.0,26.0,0.518813
477.0,28.0,0.377471
893.0,104.0,0.729617
494.0,36.0,0.419593
244.0,36.0,0.359816
882.0,37.0,0.415083
550.0,43.0,0.49923
608.0,48.0,0.363704
926.0,47.0,0.362531
346.0,51.0,0.379228
922.0,58.0,0.36788
144.0,60.0,0.351132
46.0,67.0,0.471526
453.0,82.0,0.624251
611.0,82.0,0.631683
801.0,77.0,0.588987
180.0,69.0,0.462968
231.0,89.0,0.505406
555.0,82.0,0.48848
983.0,78.0,0.372838
71.0,98.0,0.422577
752.0,100.0,0.44574
484.0,137.0,0.659412
649.0,125.0,0.538179
198.0,125.0,0.541218
265.0,110.0,0.407949
139.0,122.0,0.471203
591.0,120.0,0.365779
755.0,135.0,0.45752
26.0,132.0,0.50909
409.0,129.0,0.357577
169.0,162.0,0.509875
420.0,177.0,0.564963
664.0,161.0,0.424103
149.0,162.0,0.390803
563.0,178.0,0.613758
688.0,169.0,0.436569
718.0,195.0,0.599562
32.0,182.0,0.360517
94.0,186.0,0.411165
286.0,198.0,0.69497
388.0,186.0,0.374028
128.0,201.0,0.506655
205.0,192.0,0.351681
888.0,197.0,0.449207
454.0,242.0,0.619709
26.0,209.0,0.382768
159.0,213.0,0.373207
225.0,215.0,0.371571
646.0,217.0,0.372363
390.0,237.0,0.511369
109.0,221.0,0.381999
517.0,226.0,0.454782
941.0,234.0,0.560299
54.0,225.0,0.410725
553.0,224.0,0.473614
301.0,224.0,0.359564
989.0,235.0,0.482318
179.0,235.0,0.505381
803.0,230.0,0.35429
92.0,238.0,0.413893
808.0,243.0,0.487082
152.0,245.0,0.358076
833.0,261.0,0.735348
62.0,262.0,0.427733
187.0,264.0,0.390272
358.0,271.0,0.407562
769.0,268.0,0.362475
532.0,304.0,0.592036
778.0,270.0,0.362568
81.0,274.0,0.354652
124.0,277.0,0.475778
150.0,284.0,0.352626
881.0,289.0,0.402188
404.0,296.0,0.402067
816.0,316.0,0.637804
920.0,310.0,0.648305
486.0,305.0,0.398154
126.0,314.0,0.483707
421.0,304.0,0.382808
306.0,314.0,0.449477
88.0,315.0,0.354736
448.0,320.0,0.496217
620.0,314.0,0.355022
20.0,334.0,0.471484
884.0,344.0,0.525985
450.0,341.0,0.384994
203.0,351.0,0.510557
609.0,362.0,0.408443
294.0,363.0,0.459868
67.0,378.0,0.474981
117.0,374.0,0.439088
739.0,373.0,0.475437
334.0,373.0,0.3577
922.0,372.0,0.359336
615.0,384.0,0.430326
421.0,385.0,0.37949
252.0,386.0,0.351923
787.0,391.0,0.412497
534.0,390.0,0.354806
276.0,392.0,0.350963
328.0,397.0,0.363364
171.0,406.0,0.525563
982.0,402.0,0.481021
54.0,409.0,0.382503
613.0,412.0,0.382792
484.0,428.0,0.515972
939.0,424.0,0.372661
96.0,426.0,0.419343
561.0,428.0,0.392349
874.0,433.0,0.429151
273.0,439.0,0.503259
659.0,461.0,0.545548
58.0,439.0,0.429402
189.0,455.0,0.467687
86.0,453.0,0.418886
924.0,456.0,0.415072
594.0,455.0,0.370016
678.0,456.0,0.354396
537.0,464.0,0.449558
227.0,475.0,0.46473
738.0,470.0,0.493955
23.0,481.0,0.596262
486.0,475.0,0.353875
995.0,476.0,0.383355
104.0,486.0,0.36042
606.0,490.0,0.437828
43.0,494.0,0.38154
213.0,507.0,0.414024
301.0,496.0,0.383748
171.0,500.0,0.391248
640.0,507.0,0.426406
751.0,513.0,0.458888
17.0,508.0,0.407318
489.0,521.0,0.544936
818.0,522.0,0.391586
186.0,522.0,0.360442
630.0,523.0,0.365393
242.0,541.0,0.484901
912.0,533.0,0.442304
110.0,553.0,0.472567
150.0,532.0,0.354666
74.0,545.0,0.417203
149.0,564.0,0.536288
304.0,544.0,0.447626
718.0,540.0,0.350222
725.0,543.0,0.382782
423.0,546.0,0.391164
618.0,551.0,0.480937
846.0,548.0,0.38763
965.0,554.0,0.428872
419.0,564.0,0.457146
718.0,561.0,0.369652
21.0,584.0,0.489276
293.0,610.0,0.567212
376.0,590.0,0.350055
37.0,594.0,0.395128
76.0,602.0,0.3975
905.0,612.0,0.50225
44.0,619.0,0.525508
403.0,614.0,0.36362
754.0,612.0,0.350198
626.0,620.0,0.362283
49.0,641.0,0.419117
94.0,638.0,0.350579
23.0,647.0,0.441715
762.0,653.0,0.406044
264.0,655.0,0.435273
412.0,664.0,0.462773
896.0,659.0,0.375989
286.0,660.0,0.353978
338.0,677.0,0.44649
826.0,664.0,0.408984
34.0,667.0,0.413082
995.0,672.0,0.47156
904.0,667.0,0.371548
264.0,672.0,0.401388
71.0,675.0,0.390531
708.0,680.0,0.397341
159.0,713.0,0.550671
36.0,686.0,0.402586
286.0,690.0,0.460235
867.0,690.0,0.361309
467.0,696.0,0.523644
419.0,702.0,0.544352
20.0,713.0,0.443866
374.0,709.0,0.438246
282.0,709.0,0.358561
652.0,721.0,0.44837
207.0,716.0,0.425508
144.0,728.0,0.35797
131.0,728.0,0.448049
34.0,740.0,0.486533
399.0,743.0,0.399296
467.0,736.0,0.444914
347.0,750.0,0.385188
647.0,761.0,0.427836
46.0,775.0,0.483377
923.0,763.0,0.438503
699.0,770.0,0.493791
125.0,768.0,0.446739
819.0,766.0,0.390593
148.0,772.0,0.380897
418.0,774.0,0.416321
21.0,791.0,0.427506
220.0,788.0,0.411302
452.0,808.0,0.432023
