quantifier,dataset,sample_size,real_prev,pred_prev,abs_error,run_time
ACC,AedesQuinx,100,0.0,0.1,0.1,0.0
ACC,AedesQuinx,100,0.05,0.0,0.05,0.0
ACC,AedesQuinx,100,0.11,0.19,0.06,0.0
ACC,AedesQuinx,100,0.16,0.17,0.01,0.015627622604370117
ACC,AedesQuinx,100,0.21,0.13,0.1,0.015624761581420898
ACC,AedesQuinx,100,0.26,0.25,0.01,0.0
ACC,AedesQuinx,100,0.32,0.22,0.1,0.0
ACC,AedesQuinx,100,0.37,0.46,0.09,0.0
ACC,AedesQuinx,100,0.42,0.44,0.01,0.0
ACC,AedesQuinx,100,0.47,0.43,0.04,0.0
ACC,AedesQuinx,100,0.53,0.48,0.07,0.0
ACC,AedesQuinx,100,0.58,0.6,0.01,0.0
ACC,AedesQuinx,100,0.63,0.67,0.05,0.0
ACC,AedesQuinx,100,0.68,0.7,0.03,0.0
ACC,AedesQuinx,100,0.74,0.76,0.01,0.0
ACC,AedesQuinx,100,0.79,0.86,0.05,0.0
ACC,AedesQuinx,100,0.84,0.87,0.02,0.0
ACC,AedesQuinx,100,0.89,0.87,0.02,0.0
ACC,AedesQuinx,100,0.95,1.0,0.05,0.0
ACC,AedesQuinx,100,1.0,0.95,0.05,0.0
ACC,AedesSex,100,0.0,0.04,0.03,0.0
ACC,AedesSex,100,0.05,0.06,0.01,0.0
ACC,AedesSex,100,0.11,0.14,0.03,0.0
ACC,AedesSex,100,0.16,0.17,0.0,0.0
ACC,AedesSex,100,0.21,0.22,0.02,0.0
ACC,AedesSex,100,0.26,0.26,0.01,0.0
ACC,AedesSex,100,0.32,0.34,0.02,0.0
ACC,AedesSex,100,0.37,0.38,0.02,0.0014603137969970703
ACC,AedesSex,100,0.42,0.42,0.01,0.0
ACC,AedesSex,100,0.47,0.47,0.01,0.015601396560668945
ACC,AedesSex,100,0.53,0.52,0.0,0.0
ACC,AedesSex,100,0.58,0.57,0.0,0.0
ACC,AedesSex,100,0.63,0.62,0.01,0.0
ACC,AedesSex,100,0.68,0.68,0.01,0.0
ACC,AedesSex,100,0.74,0.75,0.02,0.0
ACC,AedesSex,100,0.79,0.79,0.01,0.0
ACC,AedesSex,100,0.84,0.86,0.0,0.0
ACC,AedesSex,100,0.89,0.85,0.03,0.0
ACC,AedesSex,100,0.95,0.92,0.03,0.0024700164794921875
ACC,AedesSex,100,1.0,0.97,0.02,0.0
ACC,anuranCalls,100,0.0,0.0,0.0,0.0009984970092773438
ACC,anuranCalls,100,0.05,0.03,0.04,0.0
ACC,anuranCalls,100,0.11,0.09,0.03,0.0
ACC,anuranCalls,100,0.16,0.13,0.03,0.0
ACC,anuranCalls,100,0.21,0.19,0.02,0.0
ACC,anuranCalls,100,0.26,0.24,0.0,0.0
ACC,anuranCalls,100,0.32,0.32,0.01,0.0
ACC,anuranCalls,100,0.37,0.35,0.02,0.0013098716735839844
ACC,anuranCalls,100,0.42,0.44,0.01,0.0
ACC,anuranCalls,100,0.47,0.42,0.04,0.0
ACC,anuranCalls,100,0.53,0.57,0.06,0.0
ACC,anuranCalls,100,0.58,0.59,0.01,0.0
ACC,anuranCalls,100,0.63,0.63,0.02,0.0
ACC,anuranCalls,100,0.68,0.73,0.02,0.0
ACC,anuranCalls,100,0.74,0.75,0.01,0.0
ACC,anuranCalls,100,0.79,0.84,0.03,0.0
ACC,anuranCalls,100,0.84,0.81,0.03,0.0
ACC,anuranCalls,100,0.89,0.92,0.01,0.0
ACC,anuranCalls,100,0.95,0.95,0.01,0.0
ACC,anuranCalls,100,1.0,1.0,0.0,0.0
CC,AedesQuinx,100,0.0,0.1,0.26,0.0
CC,AedesQuinx,100,0.05,0.0,0.11,0.0
CC,AedesQuinx,100,0.11,0.19,0.2,0.0
CC,AedesQuinx,100,0.16,0.17,0.15,0.0
CC,AedesQuinx,100,0.21,0.13,0.06,0.0
CC,AedesQuinx,100,0.26,0.25,0.1,0.0
CC,AedesQuinx,100,0.32,0.22,0.02,0.0
CC,AedesQuinx,100,0.37,0.46,0.12,0.0
CC,AedesQuinx,100,0.42,0.44,0.05,0.0
CC,AedesQuinx,100,0.47,0.43,0.0,0.0
CC,AedesQuinx,100,0.53,0.48,0.04,0.0
CC,AedesQuinx,100,0.58,0.6,0.01,0.0
CC,AedesQuinx,100,0.63,0.67,0.0,0.0
CC,AedesQuinx,100,0.68,0.7,0.03,0.0
CC,AedesQuinx,100,0.74,0.76,0.07,0.0
CC,AedesQuinx,100,0.79,0.86,0.06,0.0
CC,AedesQuinx,100,0.84,0.87,0.1,0.0
CC,AedesQuinx,100,0.89,0.87,0.14,0.0
CC,AedesQuinx,100,0.95,1.0,0.12,0.0
CC,AedesQuinx,100,1.0,0.95,0.2,0.0
CC,AedesSex,100,0.0,0.04,0.04,0.0
CC,AedesSex,100,0.05,0.06,0.02,0.0
CC,AedesSex,100,0.11,0.14,0.03,0.0
CC,AedesSex,100,0.16,0.17,0.0,0.0
CC,AedesSex,100,0.21,0.22,0.02,0.0
CC,AedesSex,100,0.26,0.26,0.01,0.0
CC,AedesSex,100,0.32,0.34,0.02,0.0
CC,AedesSex,100,0.37,0.38,0.01,0.0
CC,AedesSex,100,0.42,0.42,0.0,0.0
CC,AedesSex,100,0.47,0.47,0.0,0.0
CC,AedesSex,100,0.53,0.52,0.01,0.0
CC,AedesSex,100,0.58,0.57,0.01,0.0
CC,AedesSex,100,0.63,0.62,0.01,0.0
CC,AedesSex,100,0.68,0.68,0.01,0.0
CC,AedesSex,100,0.74,0.75,0.0,0.0
CC,AedesSex,100,0.79,0.79,0.01,0.0
CC,AedesSex,100,0.84,0.86,0.02,0.0
CC,AedesSex,100,0.89,0.85,0.05,0.0
CC,AedesSex,100,0.95,0.92,0.06,0.0
CC,AedesSex,100,1.0,0.97,0.05,0.0
CC,anuranCalls,100,0.0,0.0,0.09,0.0
CC,anuranCalls,100,0.05,0.03,0.12,0.0
CC,anuranCalls,100,0.11,0.09,0.05,0.0
CC,anuranCalls,100,0.16,0.13,0.04,0.0
CC,anuranCalls,100,0.21,0.19,0.05,0.0
CC,anuranCalls,100,0.26,0.24,0.06,0.0
CC,anuranCalls,100,0.32,0.32,0.04,0.0
CC,anuranCalls,100,0.37,0.35,0.03,0.0
CC,anuranCalls,100,0.42,0.44,0.05,0.0
CC,anuranCalls,100,0.47,0.42,0.0,0.0
CC,anuranCalls,100,0.53,0.57,0.08,0.0
CC,anuranCalls,100,0.58,0.59,0.03,0.0
CC,anuranCalls,100,0.63,0.63,0.0,0.0
CC,anuranCalls,100,0.68,0.73,0.03,0.0
CC,anuranCalls,100,0.74,0.75,0.01,0.0
CC,anuranCalls,100,0.79,0.84,0.02,0.0
CC,anuranCalls,100,0.84,0.81,0.04,0.0
CC,anuranCalls,100,0.89,0.92,0.01,0.0
CC,anuranCalls,100,0.95,0.95,0.03,0.0
CC,anuranCalls,100,1.0,1.0,0.02,0.0
DyS,AedesQuinx,100,0.0,0.1,0.13,0.05113506317138672
DyS,AedesQuinx,100,0.05,0.0,0.04,0.05810809135437012
DyS,AedesQuinx,100,0.11,0.19,0.03,0.06097745895385742
DyS,AedesQuinx,100,0.16,0.17,0.01,0.04250597953796387
DyS,AedesQuinx,100,0.21,0.13,0.07,0.042722225189208984
DyS,AedesQuinx,100,0.26,0.25,0.06,0.05842471122741699
DyS,AedesQuinx,100,0.32,0.22,0.12,0.057281494140625
DyS,AedesQuinx,100,0.37,0.46,0.01,0.06082773208618164
DyS,AedesQuinx,100,0.42,0.44,0.02,0.062133073806762695
DyS,AedesQuinx,100,0.47,0.43,0.0,0.06129264831542969
DyS,AedesQuinx,100,0.53,0.48,0.05,0.05372166633605957
DyS,AedesQuinx,100,0.58,0.6,0.05,0.06570816040039062
DyS,AedesQuinx,100,0.63,0.67,0.03,0.04543280601501465
DyS,AedesQuinx,100,0.68,0.7,0.05,0.041683197021484375
DyS,AedesQuinx,100,0.74,0.76,0.01,0.053252220153808594
DyS,AedesQuinx,100,0.79,0.86,0.06,0.053780555725097656
DyS,AedesQuinx,100,0.84,0.87,0.03,0.053147077560424805
DyS,AedesQuinx,100,0.89,0.87,0.01,0.05245637893676758
DyS,AedesQuinx,100,0.95,1.0,0.02,0.05333995819091797
DyS,AedesQuinx,100,1.0,0.95,0.05,0.03884267807006836
DyS,AedesSex,100,0.0,0.04,0.01,0.050530195236206055
DyS,AedesSex,100,0.05,0.06,0.0,0.04211759567260742
DyS,AedesSex,100,0.11,0.14,0.02,0.04109787940979004
DyS,AedesSex,100,0.16,0.17,0.01,0.05948233604431152
DyS,AedesSex,100,0.21,0.22,0.0,0.04433035850524902
DyS,AedesSex,100,0.26,0.26,0.0,0.05475473403930664
DyS,AedesSex,100,0.32,0.34,0.01,0.048838138580322266
DyS,AedesSex,100,0.37,0.38,0.0,0.04427933692932129
DyS,AedesSex,100,0.42,0.42,0.0,0.047548532485961914
DyS,AedesSex,100,0.47,0.47,0.0,0.04751014709472656
DyS,AedesSex,100,0.53,0.52,0.01,0.046077728271484375
DyS,AedesSex,100,0.58,0.57,0.0,0.06059765815734863
DyS,AedesSex,100,0.63,0.62,0.0,0.05928945541381836
DyS,AedesSex,100,0.68,0.68,0.0,0.04206395149230957
DyS,AedesSex,100,0.74,0.75,0.01,0.05522632598876953
DyS,AedesSex,100,0.79,0.79,0.0,0.05467796325683594
DyS,AedesSex,100,0.84,0.86,0.02,0.05249333381652832
DyS,AedesSex,100,0.89,0.85,0.02,0.0502169132232666
DyS,AedesSex,100,0.95,0.92,0.02,0.04105067253112793
DyS,AedesSex,100,1.0,0.97,0.02,0.0507359504699707
DyS,anuranCalls,100,0.0,0.0,0.0,0.039674997329711914
DyS,anuranCalls,100,0.05,0.03,0.0,0.04864621162414551
DyS,anuranCalls,100,0.11,0.09,0.0,0.05010795593261719
DyS,anuranCalls,100,0.16,0.13,0.03,0.0379939079284668
DyS,anuranCalls,100,0.21,0.19,0.01,0.05180215835571289
DyS,anuranCalls,100,0.26,0.24,0.03,0.0484619140625
DyS,anuranCalls,100,0.32,0.32,0.01,0.05000710487365723
DyS,anuranCalls,100,0.37,0.35,0.0,0.04362916946411133
DyS,anuranCalls,100,0.42,0.44,0.02,0.04323840141296387
DyS,anuranCalls,100,0.47,0.42,0.03,0.049251556396484375
DyS,anuranCalls,100,0.53,0.57,0.04,0.0491790771484375
DyS,anuranCalls,100,0.58,0.59,0.01,0.05558133125305176
DyS,anuranCalls,100,0.63,0.63,0.0,0.04531979560852051
DyS,anuranCalls,100,0.68,0.73,0.02,0.04593992233276367
DyS,anuranCalls,100,0.74,0.75,0.01,0.06634712219238281
DyS,anuranCalls,100,0.79,0.84,0.03,0.049698591232299805
DyS,anuranCalls,100,0.84,0.81,0.01,0.053688764572143555
DyS,anuranCalls,100,0.89,0.92,0.02,0.04703545570373535
DyS,anuranCalls,100,0.95,0.95,0.01,0.038648366928100586
DyS,anuranCalls,100,1.0,1.0,0.0,0.05082368850708008
HDy,AedesQuinx,100,0.0,0.1,0.06,0.20746541023254395
HDy,AedesQuinx,100,0.05,0.0,0.05,0.20662784576416016
HDy,AedesQuinx,100,0.11,0.19,0.0,0.20375823974609375
HDy,AedesQuinx,100,0.16,0.17,0.04,0.22283554077148438
HDy,AedesQuinx,100,0.21,0.13,0.11,0.20685505867004395
HDy,AedesQuinx,100,0.26,0.25,0.12,0.2068192958831787
HDy,AedesQuinx,100,0.32,0.22,0.17,0.22356581687927246
HDy,AedesQuinx,100,0.37,0.46,0.04,0.22754669189453125
HDy,AedesQuinx,100,0.42,0.44,0.03,0.21342086791992188
HDy,AedesQuinx,100,0.47,0.43,0.01,0.20831036567687988
HDy,AedesQuinx,100,0.53,0.48,0.06,0.22126150131225586
HDy,AedesQuinx,100,0.58,0.6,0.03,0.22063016891479492
HDy,AedesQuinx,100,0.63,0.67,0.06,0.21365690231323242
HDy,AedesQuinx,100,0.68,0.7,0.09,0.2245039939880371
HDy,AedesQuinx,100,0.74,0.76,0.06,0.21253585815429688
HDy,AedesQuinx,100,0.79,0.86,0.1,0.21196722984313965
HDy,AedesQuinx,100,0.84,0.87,0.09,0.19852757453918457
HDy,AedesQuinx,100,0.89,0.87,0.04,0.21430230140686035
HDy,AedesQuinx,100,0.95,1.0,0.05,0.21586084365844727
HDy,AedesQuinx,100,1.0,0.95,0.0,0.22666001319885254
HDy,AedesSex,100,0.0,0.04,0.01,0.22043609619140625
HDy,AedesSex,100,0.05,0.06,0.01,0.22322607040405273
HDy,AedesSex,100,0.11,0.14,0.01,0.22316431999206543
HDy,AedesSex,100,0.16,0.17,0.01,0.20215320587158203
HDy,AedesSex,100,0.21,0.22,0.0,0.2027122974395752
HDy,AedesSex,100,0.26,0.26,0.0,0.20676207542419434
HDy,AedesSex,100,0.32,0.34,0.01,0.21153473854064941
HDy,AedesSex,100,0.37,0.38,0.01,0.20253443717956543
HDy,AedesSex,100,0.42,0.42,0.0,0.20752358436584473
HDy,AedesSex,100,0.47,0.47,0.01,0.20699357986450195
HDy,AedesSex,100,0.53,0.52,0.01,0.2229466438293457
HDy,AedesSex,100,0.58,0.57,0.0,0.20533180236816406
HDy,AedesSex,100,0.63,0.62,0.01,0.20588278770446777
HDy,AedesSex,100,0.68,0.68,0.0,0.20900321006774902
HDy,AedesSex,100,0.74,0.75,0.02,0.21031546592712402
HDy,AedesSex,100,0.79,0.79,0.01,0.2109057903289795
HDy,AedesSex,100,0.84,0.86,0.03,0.2127847671508789
HDy,AedesSex,100,0.89,0.85,0.01,0.21557831764221191
HDy,AedesSex,100,0.95,0.92,0.0,0.21811366081237793
HDy,AedesSex,100,1.0,0.97,0.01,0.2037649154663086
HDy,anuranCalls,100,0.0,0.0,0.0,0.20348119735717773
HDy,anuranCalls,100,0.05,0.03,0.01,0.2102344036102295
HDy,anuranCalls,100,0.11,0.09,0.0,0.19185829162597656
HDy,anuranCalls,100,0.16,0.13,0.02,0.2070150375366211
HDy,anuranCalls,100,0.21,0.19,0.01,0.20310282707214355
HDy,anuranCalls,100,0.26,0.24,0.02,0.19881653785705566
HDy,anuranCalls,100,0.32,0.32,0.0,0.20647263526916504
HDy,anuranCalls,100,0.37,0.35,0.05,0.20241308212280273
HDy,anuranCalls,100,0.42,0.44,0.06,0.20755314826965332
HDy,anuranCalls,100,0.47,0.42,0.0,0.20704293251037598
HDy,anuranCalls,100,0.53,0.57,0.05,0.19709324836730957
HDy,anuranCalls,100,0.58,0.59,0.03,0.20225811004638672
HDy,anuranCalls,100,0.63,0.63,0.01,0.2026524543762207
HDy,anuranCalls,100,0.68,0.73,0.06,0.2070612907409668
HDy,anuranCalls,100,0.74,0.75,0.02,0.19491100311279297
HDy,anuranCalls,100,0.79,0.84,0.06,0.20704150199890137
HDy,anuranCalls,100,0.84,0.81,0.04,0.20675969123840332
HDy,anuranCalls,100,0.89,0.92,0.05,0.20694422721862793
HDy,anuranCalls,100,0.95,0.95,0.03,0.2085881233215332
HDy,anuranCalls,100,1.0,1.0,0.0,0.2057952880859375
