quantifier,dataset,sample_size,real_prev,pred_prev,abs_error,run_time
ACC,AedesQuinx,100,0.0,0.03,0.026000000000000002,0.0002582000015536323
CC,AedesQuinx,100,0.0,0.03,0.197,5.199995939619839e-06
DyS,AedesQuinx,100,0.0,0.03,0.015,0.048598400004266296
HDy,AedesQuinx,100,0.0,0.03,0.006,0.21484419999615056
MAX,AedesQuinx,100,0.0,0.03,0.023,0.0001835999937611632
MS,AedesQuinx,100,0.0,0.03,0.014000000000000002,0.024602899997262284
PACC,AedesQuinx,100,0.0,0.03,0.125,0.0028393999964464456
PCC,AedesQuinx,100,0.0,0.03,0.278,0.002554500002588611
SMM,AedesQuinx,100,0.0,0.03,0.015000000000000003,0.00011629999789875001
SORD,AedesQuinx,100,0.0,0.03,0.016,1.319729599999846
X,AedesQuinx,100,0.0,0.03,0.021,0.0003556000010576099
ACC,AedesQuinx,100,0.05,0.05,0.024,0.0002578999992692843
CC,AedesQuinx,100,0.05,0.05,0.19,5.100002454128116e-06
DyS,AedesQuinx,100,0.05,0.05,0.034,0.04969880000135163
HDy,AedesQuinx,100,0.05,0.05,0.040999999999999995,0.2197048000016366
MAX,AedesQuinx,100,0.05,0.05,0.03300000000000001,0.00018990000535268337
MS,AedesQuinx,100,0.05,0.05,0.028999999999999998,0.02522809999936726
PACC,AedesQuinx,100,0.05,0.05,0.124,0.0029247999991639517
PCC,AedesQuinx,100,0.05,0.05,0.258,0.0025774000023375265
SMM,AedesQuinx,100,0.05,0.05,0.032,0.0001253000009455718
SORD,AedesQuinx,100,0.05,0.05,0.033,1.3702236999961315
X,AedesQuinx,100,0.05,0.05,0.022,0.0003690000012284145
ACC,AedesQuinx,100,0.11,0.08,0.023,0.0002609000002848916
CC,AedesQuinx,100,0.11,0.08,0.16100000000000003,5.199995939619839e-06
DyS,AedesQuinx,100,0.11,0.08,0.026000000000000002,0.04974719999881927
HDy,AedesQuinx,100,0.11,0.08,0.05800000000000001,0.2221175000013318
MAX,AedesQuinx,100,0.11,0.08,0.028000000000000004,0.00019109999993816018
MS,AedesQuinx,100,0.11,0.08,0.047,0.025296600004367065
PACC,AedesQuinx,100,0.11,0.08,0.10400000000000001,0.002966699998069089
PCC,AedesQuinx,100,0.11,0.08,0.22599999999999998,0.0026066999998874962
SMM,AedesQuinx,100,0.11,0.08,0.052000000000000005,0.00012510000669863075
SORD,AedesQuinx,100,0.11,0.08,0.04,1.366722499995376
X,AedesQuinx,100,0.11,0.08,0.023,0.0003618000046117231
ACC,AedesQuinx,100,0.16,0.08,0.03900000000000001,0.00025859999732347205
CC,AedesQuinx,100,0.16,0.08,0.133,5.100002454128116e-06
DyS,AedesQuinx,100,0.16,0.08,0.041999999999999996,0.04968129999906523
HDy,AedesQuinx,100,0.16,0.08,0.083,0.22139549999701558
MAX,AedesQuinx,100,0.16,0.08,0.046,0.00019099999917671084
MS,AedesQuinx,100,0.16,0.08,0.036000000000000004,0.025101599996560253
PACC,AedesQuinx,100,0.16,0.08,0.07400000000000001,0.0029540999967139214
PCC,AedesQuinx,100,0.16,0.08,0.186,0.0025939000042853877
SMM,AedesQuinx,100,0.16,0.08,0.037000000000000005,0.00012560000322991982
SORD,AedesQuinx,100,0.16,0.08,0.03899999999999999,1.379815599997528
X,AedesQuinx,100,0.16,0.08,0.041,0.00036950000503566116
ACC,AedesQuinx,100,0.21,0.1,0.05800000000000001,0.00025829999503912404
CC,AedesQuinx,100,0.21,0.1,0.11300000000000002,5.199995939619839e-06
DyS,AedesQuinx,100,0.21,0.1,0.067,0.0495876999993925
HDy,AedesQuinx,100,0.21,0.1,0.085,0.22100789999967674
MAX,AedesQuinx,100,0.21,0.1,0.06299999999999999,0.00019330000213813037
MS,AedesQuinx,100,0.21,0.1,0.066,0.0252355999982683
PACC,AedesQuinx,100,0.21,0.1,0.06000000000000001,0.002943599996797275
PCC,AedesQuinx,100,0.21,0.1,0.15499999999999997,0.002569800002675038
SMM,AedesQuinx,100,0.21,0.1,0.07599999999999998,0.00012579999747686088
SORD,AedesQuinx,100,0.21,0.1,0.06799999999999999,1.3738314000001992
X,AedesQuinx,100,0.21,0.1,0.054000000000000006,0.0003690999947139062
ACC,AedesQuinx,100,0.26,0.19,0.036,0.0002571000004536472
CC,AedesQuinx,100,0.26,0.19,0.095,5.100002454128116e-06
DyS,AedesQuinx,100,0.26,0.19,0.04,0.04958670000632992
HDy,AedesQuinx,100,0.26,0.19,0.081,0.21935520000261022
MAX,AedesQuinx,100,0.26,0.19,0.036000000000000004,0.00019159999646944925
MS,AedesQuinx,100,0.26,0.19,0.026000000000000002,0.025081100000534207
PACC,AedesQuinx,100,0.26,0.19,0.045,0.0029147000022931024
PCC,AedesQuinx,100,0.26,0.19,0.13200000000000003,0.0025616000057198107
SMM,AedesQuinx,100,0.26,0.19,0.025,0.0001244000013684854
SORD,AedesQuinx,100,0.26,0.19,0.029000000000000005,1.3722242000003462
X,AedesQuinx,100,0.26,0.19,0.041999999999999996,0.00036920000275131315
ACC,AedesQuinx,100,0.32,0.29,0.052000000000000005,0.00025800000003073364
CC,AedesQuinx,100,0.32,0.29,0.07400000000000001,5.199995939619839e-06
DyS,AedesQuinx,100,0.32,0.29,0.045,0.049455799999122974
HDy,AedesQuinx,100,0.32,0.29,0.071,0.2207750000015949
MAX,AedesQuinx,100,0.32,0.29,0.044000000000000004,0.00018760000239126384
MS,AedesQuinx,100,0.32,0.29,0.044,0.025359599996590987
PACC,AedesQuinx,100,0.32,0.29,0.033,0.0029456999982357956
PCC,AedesQuinx,100,0.32,0.29,0.097,0.0025973999945563264
SMM,AedesQuinx,100,0.32,0.29,0.047,0.0001269999993382953
SORD,AedesQuinx,100,0.32,0.29,0.045,1.3694218000018736
X,AedesQuinx,100,0.32,0.29,0.05000000000000001,0.00036380000528879464
ACC,AedesQuinx,100,0.37,0.25,0.05800000000000001,0.00025469999673077837
CC,AedesQuinx,100,0.37,0.25,0.05700000000000001,5.099995178170502e-06
DyS,AedesQuinx,100,0.37,0.25,0.044,0.04929930000071181
HDy,AedesQuinx,100,0.37,0.25,0.07200000000000001,0.21843950000038603
MAX,AedesQuinx,100,0.37,0.25,0.049,0.00018909999926108867
MS,AedesQuinx,100,0.37,0.25,0.046,0.024838199999067
PACC,AedesQuinx,100,0.37,0.25,0.029000000000000005,0.0029243999961181544
PCC,AedesQuinx,100,0.37,0.25,0.069,0.0025697000019135885
SMM,AedesQuinx,100,0.37,0.25,0.045,0.0001246999963768758
SORD,AedesQuinx,100,0.37,0.25,0.048,1.3738191999946139
X,AedesQuinx,100,0.37,0.25,0.05600000000000001,0.00036410000029718503
ACC,AedesQuinx,100,0.42,0.37,0.041999999999999996,0.00025099999766098335
CC,AedesQuinx,100,0.42,0.37,0.038,5.199995939619839e-06
DyS,AedesQuinx,100,0.42,0.37,0.030000000000000006,0.04795000000012806
HDy,AedesQuinx,100,0.42,0.37,0.037,0.217379500005336
MAX,AedesQuinx,100,0.42,0.37,0.038000000000000006,0.00018629999976838008
MS,AedesQuinx,100,0.42,0.37,0.037,0.024807499998132698
PACC,AedesQuinx,100,0.42,0.37,0.019,0.0028795000034733675
PCC,AedesQuinx,100,0.42,0.37,0.038,0.0025203999975929037
SMM,AedesQuinx,100,0.42,0.37,0.030999999999999993,0.00011870000162161887
SORD,AedesQuinx,100,0.42,0.37,0.030999999999999993,1.3214535000006435
X,AedesQuinx,100,0.42,0.37,0.045,0.0003524999992805533
ACC,AedesQuinx,100,0.47,0.32,0.043000000000000003,0.0002596000049379654
CC,AedesQuinx,100,0.47,0.32,0.031999999999999994,5.399997462518513e-06
DyS,AedesQuinx,100,0.47,0.32,0.041,0.04888589999609394
HDy,AedesQuinx,100,0.47,0.32,0.05600000000000001,0.2229384000020218
MAX,AedesQuinx,100,0.47,0.32,0.044000000000000004,0.00019440000323811546
MS,AedesQuinx,100,0.47,0.32,0.049,0.0255403999981354
PACC,AedesQuinx,100,0.47,0.32,0.042,0.002942899998743087
PCC,AedesQuinx,100,0.47,0.32,0.020999999999999998,0.002588900002592709
SMM,AedesQuinx,100,0.47,0.32,0.052000000000000005,0.0001221999991685152
SORD,AedesQuinx,100,0.47,0.32,0.044000000000000004,1.344336399997701
X,AedesQuinx,100,0.47,0.32,0.046000000000000006,0.0003606000027502887
ACC,AedesQuinx,100,0.53,0.52,0.037,0.0002523000002838671
CC,AedesQuinx,100,0.53,0.52,0.022000000000000002,5.199995939619839e-06
DyS,AedesQuinx,100,0.53,0.52,0.04800000000000001,0.047863400002825074
HDy,AedesQuinx,100,0.53,0.52,0.054000000000000006,0.2144490999999107
MAX,AedesQuinx,100,0.53,0.52,0.038,0.0001799000019673258
MS,AedesQuinx,100,0.53,0.52,0.054000000000000006,0.02407630000379868
PACC,AedesQuinx,100,0.53,0.52,0.046000000000000006,0.0027982999963569455
PCC,AedesQuinx,100,0.53,0.52,0.025,0.0024634000001242384
SMM,AedesQuinx,100,0.53,0.52,0.051000000000000004,0.00011280000035185367
SORD,AedesQuinx,100,0.53,0.52,0.046000000000000006,1.3105891000013798
X,AedesQuinx,100,0.53,0.52,0.03200000000000001,0.0003507999936118722
