dataset,predicted_ranking,predicted_ranking_weights,predicted_ranking_mae,true_ranking,true_ranking_weights,true_ranking_mae
1043_ada_agnostic,"['DyS', 'SORD', 'HDy', 'X', 'SMM', 'MAX', 'MS', 'ACC', 'PCC', 'CC', 'PACC']","[0.15598555 0.12977302 0.12515373 0.1128578  0.10859952 0.09380214
 0.07569019 0.06439608 0.04990226 0.04783843 0.03600129]","[np.float64(0.05834482585500002), np.float64(0.07012974999999996), np.float64(0.07271816666666665), np.float64(0.0806408554416666), np.float64(0.083802849525), np.float64(0.09702283705833337), np.float64(0.12023948234999994), np.float64(0.1413276858583334), np.float64(0.18237549967500008), np.float64(0.19024349999999987), np.float64(0.2527950880883334)]","['SORD', 'DyS', 'SMM', 'MS', 'ACC', 'MAX', 'X', 'PACC', 'HDy', 'CC', 'PCC']","[0.12885952 0.12514811 0.11836845 0.11429562 0.10576957 0.10074453
 0.10074453 0.08141976 0.0645731  0.03127759 0.02879922]","[np.float64(0.04505), np.float64(0.046386010000000005), np.float64(0.04904281), np.float64(0.05079041), np.float64(0.05488461), np.float64(0.0576222), np.float64(0.0576222), np.float64(0.071298685), np.float64(0.08990000000000001), np.float64(0.1856), np.float64(0.20157217)]"
1460_banana,"['HDy', 'DyS', 'SORD', 'MAX', 'MS', 'PCC', 'SMM', 'X', 'CC', 'ACC', 'PACC']","[0.18844969 0.18359936 0.1323371  0.12067927 0.08671159 0.05933202
 0.05809443 0.05110263 0.04581279 0.04080886 0.03307228]","[np.float64(0.08087791666666665), np.float64(0.08301455088333316), np.float64(0.11517116666666669), np.float64(0.1262968997500001), np.float64(0.1757714013541668), np.float64(0.25688353412500026), np.float64(0.2623559466999998), np.float64(0.2982511705833329), np.float64(0.3326891583333331), np.float64(0.3734830618133329), np.float64(0.4608517502666667)]","['HDy', 'DyS', 'SORD', 'MAX', 'MS', 'PCC', 'SMM', 'X', 'CC', 'ACC', 'PACC']","[0.24237673 0.17315098 0.12683276 0.11291209 0.07631214 0.06126266
 0.05060399 0.04476818 0.04398177 0.03539293 0.03240577]","[np.float64(0.06685), np.float64(0.093576625), np.float64(0.12775), np.float64(0.1435), np.float64(0.21232382000000002), np.float64(0.26448221499999996), np.float64(0.32018984000000006), np.float64(0.36192860000000004), np.float64(0.36840000000000006), np.float64(0.4578), np.float64(0.5)]"
1462_banknote-authentication,"['CC', 'PCC', 'HDy', 'ACC', 'SORD', 'SMM', 'MS', 'DyS', 'MAX', 'X', 'PACC']","[0.13341445 0.11927276 0.10836182 0.10074421 0.09268332 0.08574654
 0.08572366 0.07816515 0.07363041 0.06275817 0.05949951]","[np.float64(0.04415874999999997), np.float64(0.049394476239999985), np.float64(0.05436800000000003), np.float64(0.05847894983749991), np.float64(0.06356499999999995), np.float64(0.06870732619999992), np.float64(0.06872566349999998), np.float64(0.07537137987999996), np.float64(0.08001335126428583), np.float64(0.09387488195000002), np.float64(0.09901620630000015)]","['DyS', 'X', 'MAX', 'SORD', 'MS', 'ACC', 'SMM', 'HDy', 'CC', 'PCC', 'PACC']","[0.15244906 0.13193949 0.1150419  0.1059702  0.101746   0.08502354
 0.08434718 0.08363567 0.0632229  0.04331716 0.03330691]","[np.float64(0.006117045), np.float64(0.00706792), np.float64(0.00810607), np.float64(0.0088), np.float64(0.00916535), np.float64(0.010967995), np.float64(0.011055945000000001), np.float64(0.01115), np.float64(0.014750000000000001), np.float64(0.021528135), np.float64(0.027998325)]"
1466_cardiotocography,"['MS', 'ACC', 'X', 'SMM', 'MAX', 'SORD', 'DyS', 'HDy', 'CC', 'PCC', 'PACC']","[0.12485924 0.11858707 0.11492688 0.11112277 0.10649134 0.0993801
 0.08906193 0.08285811 0.05552466 0.05202168 0.04516622]","[np.float64(0.04149262342440478), np.float64(0.043687204375000004), np.float64(0.04507855370166666), np.float64(0.04662174584226193), np.float64(0.0486493794), np.float64(0.05213053333333332), np.float64(0.05817005865416666), np.float64(0.06252541666666667), np.float64(0.09330516666666665), np.float64(0.09958804689999998), np.float64(0.1147038015066667)]","['ACC', 'CC', 'MS', 'SORD', 'HDy', 'MAX', 'X', 'SMM', 'DyS', 'PACC', 'PCC']","[2.49591385e-01 2.49591385e-01 2.49591385e-01 2.49591385e-01
 5.54647522e-04 2.77323761e-04 2.77323761e-04 2.45427704e-04
 1.70960029e-04 5.43888797e-05 5.43888797e-05]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.00045), np.float64(0.0009), np.float64(0.0009), np.float64(0.0010169649999999999), np.float64(0.00145994), np.float64(0.004589015), np.float64(0.004589015)]"
1475_first-order-theorem-proving,"['DyS', 'SMM', 'SORD', 'HDy', 'X', 'MS', 'MAX', 'ACC', 'CC', 'PCC', 'PACC']","[0.13102494 0.13037282 0.1199179  0.11838236 0.10528287 0.10015282
 0.0902247  0.07696607 0.04934341 0.04770959 0.0306225 ]","[np.float64(0.06154605883333333), np.float64(0.061853910533333334), np.float64(0.06724658333333337), np.float64(0.06811883928571427), np.float64(0.07659431214166663), np.float64(0.08051763898999997), np.float64(0.08937761665166669), np.float64(0.10477433660928571), np.float64(0.16342746666666672), np.float64(0.1690240695375), np.float64(0.2633380199000001)]","['SORD', 'DyS', 'SMM', 'MS', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC']","[0.1198154  0.1175178  0.11651886 0.11465116 0.1114996  0.10272995
 0.10218103 0.08968239 0.04675358 0.04248177 0.03616848]","[np.float64(0.06570000000000001), np.float64(0.066984505), np.float64(0.067558775), np.float64(0.068659325), np.float64(0.07060000000000001), np.float64(0.076626845), np.float64(0.077038485), np.float64(0.08777499999999999), np.float64(0.16836939999999997), np.float64(0.18530000000000002), np.float64(0.21764455000000002)]"
1479_hill-valley,"['SORD', 'HDy', 'SMM', 'PCC', 'PACC', 'MS', 'X', 'CC', 'DyS', 'ACC', 'MAX']","[0.11596048 0.10848487 0.09476311 0.09413874 0.09147345 0.0910804
 0.08681363 0.08525299 0.08048716 0.07928988 0.0722553 ]","[np.float64(0.17620126666666677), np.float64(0.1883431666666668), np.float64(0.21561538410833334), np.float64(0.2170454393791667), np.float64(0.22336956305333328), np.float64(0.22433347729166658), np.float64(0.23535915625416665), np.float64(0.23966765000000007), np.float64(0.2538589302233335), np.float64(0.257692208625), np.float64(0.2827804028900002)]","['HDy', 'MAX', 'X', 'DyS', 'SORD', 'SMM', 'ACC', 'MS', 'PCC', 'CC', 'PACC']","[0.14828687 0.13798486 0.13798486 0.12719336 0.10571419 0.09603771
 0.09336581 0.0874887  0.03192828 0.02090679 0.01310856]","[np.float64(0.044199999999999996), np.float64(0.04749999), np.float64(0.04749999), np.float64(0.051530045), np.float64(0.062), np.float64(0.06824693500000001), np.float64(0.0702), np.float64(0.07491573), np.float64(0.20528133), np.float64(0.3135), np.float64(0.5)]"
1485_madelon,"['DyS', 'SORD', 'HDy', 'MS', 'SMM', 'MAX', 'ACC', 'X', 'PCC', 'CC', 'PACC']","[0.1440403  0.13810214 0.11287809 0.10153839 0.09641224 0.09364776
 0.083644   0.0781878  0.05880223 0.05412329 0.03862377]","[np.float64(0.06792548628749999), np.float64(0.07084616666666667), np.float64(0.08667765), np.float64(0.09635771697499998), np.float64(0.10148096552499998), np.float64(0.10447668140000005), np.float64(0.11697202110333331), np.float64(0.12513470662083337), np.float64(0.16638837669999995), np.float64(0.18077258333333338), np.float64(0.25331570670000003)]","['MS', 'SMM', 'SORD', 'CC', 'DyS', 'PACC', 'MAX', 'PCC', 'HDy', 'ACC', 'X']","[0.0948043  0.09470882 0.09466502 0.09413785 0.0936751  0.09281929
 0.09078545 0.09056058 0.08627873 0.08378243 0.08378243]","[np.float64(0.249632735), np.float64(0.24988438999999998), np.float64(0.25), np.float64(0.2514), np.float64(0.2526419), np.float64(0.25497131), np.float64(0.260683355), np.float64(0.261330655), np.float64(0.2743), np.float64(0.282472765), np.float64(0.282472765)]"
1489_phoneme,"['DyS', 'SORD', 'SMM', 'MAX', 'X', 'HDy', 'MS', 'ACC', 'PACC', 'CC', 'PCC']","[0.13848957 0.12746636 0.12185978 0.1119592  0.11177307 0.10195637
 0.09762638 0.07921561 0.04472563 0.03255061 0.03237743]","[np.float64(0.05094883421666671), np.float64(0.05535485714285719), np.float64(0.05790164558083332), np.float64(0.06302190299166674), np.float64(0.06312685138809519), np.float64(0.06920491666666662), np.float64(0.07227434064166671), np.float64(0.08907186266249989), np.float64(0.15775923727499974), np.float64(0.21676649999999997), np.float64(0.21792594743999985)]","['DyS', 'SORD', 'SMM', 'MAX', 'X', 'HDy', 'MS', 'ACC', 'PACC', 'PCC', 'CC']","[0.13420202 0.1283535  0.12077287 0.10972102 0.10972102 0.1073574
 0.10444276 0.07495499 0.05209335 0.02990477 0.0284763 ]","[np.float64(0.051837965), np.float64(0.0542), np.float64(0.057602005), np.float64(0.063404075), np.float64(0.063404075), np.float64(0.06480000000000001), np.float64(0.066608345), np.float64(0.0928125), np.float64(0.1335441), np.float64(0.23263043), np.float64(0.2443)]"
1494_qsar-biodeg,"['HDy', 'DyS', 'SORD', 'SMM', 'MS', 'ACC', 'X', 'MAX', 'CC', 'PACC', 'PCC']","[0.14296203 0.14080803 0.11749018 0.11024738 0.09955703 0.0840343
 0.07637229 0.07078927 0.06297475 0.05232834 0.0424364 ]","[np.float64(0.0337185), np.float64(0.03423430564999997), np.float64(0.04102866666666667), np.float64(0.04372408104999999), np.float64(0.04841913429999993), np.float64(0.05736306459999995), np.float64(0.06311798829999998), np.float64(0.06809598810000005), np.float64(0.0765459999999999), np.float64(0.09211958874999994), np.float64(0.11359270279999983)]","['HDy', 'DyS', 'MS', 'SMM', 'SORD', 'MAX', 'ACC', 'CC', 'PACC', 'X', 'PCC']","[0.16606883 0.13608279 0.10509712 0.10392512 0.0957266  0.07896192
 0.07687274 0.07357331 0.0709478  0.05543842 0.03730534]","[np.float64(0.0313), np.float64(0.038197), np.float64(0.04945858), np.float64(0.050016345), np.float64(0.054299999999999994), np.float64(0.06582862), np.float64(0.067617655), np.float64(0.07065), np.float64(0.07326449), np.float64(0.093760865), np.float64(0.13933539)]"
1496_ringnorm,"['HDy', 'SORD', 'SMM', 'MAX', 'X', 'PCC', 'DyS', 'ACC', 'MS', 'PACC', 'CC']","[0.12570079 0.11074989 0.10410329 0.09797297 0.09100739 0.08360124
 0.08239551 0.07917077 0.07680651 0.0763939  0.07209774]","[np.float64(0.22029750000000026), np.float64(0.250037), np.float64(0.26600091752666666), np.float64(0.2826449975833336), np.float64(0.3042782456833337), np.float64(0.3312339772849998), np.float64(0.3360810655500003), np.float64(0.34977010399999997), np.float64(0.3605367746666668), np.float64(0.3624840300849997), np.float64(0.38408375)]","['DyS', 'SORD', 'MS', 'SMM', 'MAX', 'HDy', 'ACC', 'X', 'PACC', 'CC', 'PCC']","[0.12551045 0.1194639  0.11803864 0.11417713 0.11331523 0.09945369
 0.09510683 0.088666   0.04942499 0.04405479 0.03278835]","[np.float64(0.047543625), np.float64(0.04995), np.float64(0.05055312), np.float64(0.052262845), np.float64(0.052660365), np.float64(0.06), np.float64(0.062742305), np.float64(0.0673), np.float64(0.12073287499999999), np.float64(0.13545), np.float64(0.181992145)]"
