quantifier,dataset,inv_abs_error,run_time
ACC,1043_ada_agnostic,0.94947107,0.0002660190000005435
ACC,1460_banana,0.716001735,0.00025906299998036653
ACC,1462_banknote-authentication,0.98921472,0.000253480499973145
ACC,1466_cardiotocography,1.0,0.00025625550002127546
ACC,1475_first-order-theorem-proving,0.9314713299999999,0.0002651734999880765
ACC,1479_hill-valley,0.9369154749999999,0.0002564639999990905
ACC,1485_madelon,0.801182205,0.0002632609999727255
ACC,1489_phoneme,0.919326745,0.000260212500038456
ACC,1494_qsar-biodeg,0.93805155,0.00025567349996431
ACC,1496_ringnorm,0.9428399550000001,0.0002588155000420965
ACC,1497_wall-robot-navigation,0.94462192,0.0002592599999706615
ACC,1504_steel-plates-fault,1.0,0.00025736449997561353
ACC,1507_twonorm,0.989096515,0.0002601929999672785
ACC,1526_wall-robot-navigation,0.88007821,0.0002571864999935685
ACC,1535_volcanoes-b5,0.9181115649999999,0.00026036249998919353
ACC,1538_volcanoes-d1,0.87069581,0.0002602924999836845
ACC,1539_volcanoes-d2,0.860956215,0.0002594374999852735
ACC,1540_volcanoes-d3,0.812579975,0.0002587270000003105
ACC,1541_volcanoes-d4,0.779380125,0.0002584644999705635
ACC,1566_hill-valley,0.7996003399999999,0.000255802999972677
ACC,182_satimage,0.9893226799999999,0.0002669405000278385
ACC,23_cmc,0.9146234149999999,0.000252834499965452
ACC,28_optdigits,0.98679864,0.000262807500016558
ACC,294_satellite_image,0.98947562,0.00026437599998639
ACC,2dplanes,0.964175895,0.000268299000053905
ACC,30_page-blocks,0.9371113,0.000269163999882898
ACC,312_scene,0.986011185,0.000256421500007439
ACC,375_JapaneseVowels,0.982059605,0.000260390499961378
ACC,40474_thyroid-allbp,0.9356012300000001,0.00024214349996322547
ACC,40475_thyroid-allhyper,0.9356012300000001,0.0002445230000193495
ACC,40733_yeast,0.7420254900000001,0.000248212500036921
ACC,44_spambase,0.9768415699999999,0.000268598999982665
ACC,4538_GesturePhaseSegmentationProcessed,0.86085012,0.000260292499970041
ACC,60_waveform-5000,0.95706604,0.000247853499986329
ACC,679_rmftsa_sleepdata,0.77199356,0.00024184149996467097
ACC,AedesQuinx,0.9573145150000001,0.000256344500057772
ACC,AedesSex,0.9885147449999999,0.0002548629999454945
ACC,ArabicDigit,0.989921935,0.000250120500031649
ACC,BNG,0.9886809049999999,0.00026874550004317053
ACC,BNG_breast-w,0.9886809049999999,0.0002752615000189905
ACC,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.719824795,0.000271845999868626
ACC,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.7081995550000001,0.0002717159998064255
ACC,HTRU,0.977457245,0.0002703964999818205
ACC,MagicTelescope,0.94359086,0.000269201000046402
ACC,abalone,0.95265041,0.000248354000077546
ACC,ailerons,0.96857645,0.000254936500032222
ACC,anuranCalls,0.980012815,0.000246696499871129
ACC,balloon,0.968865845,0.00024206399998542302
ACC,bank8FM,0.98322366,0.000248608500014548
ACC,churn,0.8534960650000001,0.000274383500027348
ACC,clean2,1.0,0.0002893009999660945
ACC,click-prediction,0.7313013700000001,0.000279821499980193
ACC,cmc,0.9216859049999999,0.0002710624999780965
ACC,covtype_reduced,0.9377558100000001,0.0002795975000207785
ACC,cpu_act,0.975055305,0.00027426699997699596
ACC,default_credit_card_clients,0.896918175,0.000273560999985371
ACC,delta_ailerons,0.9795768499999999,0.00026493149998709447
ACC,eeg,0.83378134,0.0002701024999896155
ACC,electricity-normalized,0.942493185,0.000274906500035235
ACC,elevators,0.96903555,0.0002788339999915
ACC,file22f0e4a679,0.98772452,0.0002796624999882135
ACC,file79b563a1a18,0.9429678199999999,0.000287321500036289
ACC,file7b5365fa741c,0.955447585,0.000283846499969463
ACC,fri_c2_1000_10,0.92588279,0.000269938500095981
ACC,fried,0.962461565,0.0002734624999447445
ACC,gina_agnostic,0.959931625,0.0002914255000723145
ACC,houses,0.987446635,0.0002701014999910935
ACC,jm1-processed,0.8598568400000001,0.0002737985002931485
ACC,kdd_JapaneseVowels,0.982059605,0.0002693104998251725
ACC,kin8nm,0.93470562,0.000267375500243314
ACC,letter-recognition,0.849543025,0.0002739925000241335
ACC,magic,0.94359086,0.0002735534998282145
ACC,mozilla,0.959126735,0.00026933649996857897
ACC,namao,0.9800395550000001,0.000257252499977718
ACC,occupancy,0.99334608,0.00024826200000456397
ACC,page-blocks,0.9371113,0.00024213649983716097
ACC,parity5_plus_5,0.7904130349999999,0.00023878800000597399
ACC,pendigits,0.990643635,0.0002464115001202515
ACC,phoneme,0.913055815,0.000242379000010207
ACC,php50jXam,0.98921472,0.00023817900011630948
ACC,phpGUrE90,0.9393309999999999,0.00024125050007564
ACC,phpMD2hR6,0.9344725850000001,0.0002562754999598335
ACC,phpV5QYya,0.9739830899999999,0.00025428099990671847
ACC,phpWfYmlu,0.943818985,0.00024498399994622396
ACC,phphQEck0,0.9704113649999999,0.0002520105003167775
ACC,phplE7q6h,0.8445486699999999,0.000253528000102911
ACC,phpmPOD5A,0.69607305,0.000255233999941945
ACC,phpwRjVjk,0.72742394,0.00024236450011808
ACC,phpxijhaP,0.989096515,0.00024404049996514798
ACC,pol,0.97188854,0.000252920499933634
ACC,pollen,0.786708795,0.0002418019999640305
ACC,puma32H,0.90165516,0.00024710649993716304
ACC,puma8NH,0.9503123499999999,0.00024448850017501947
ACC,quake,0.750397975,0.000239491999873227
ACC,space_ga,0.958591085,0.0002390364999336705
ACC,spambase,0.9768415699999999,0.0002496940000309655
ACC,sylva_prior,0.9915537550000001,0.00025364750013973
ACC,visualizing_soil,0.995533365,0.000245731000068138
ACC,wind,0.9656779299999999,0.00024373200005351901
ACC,winetype,0.994879555,0.0002442969999537565
CC,1043_ada_agnostic,0.85333675,9.097499973904633e-06
CC,1460_banana,0.7560513600000001,8.95700000000943e-06
CC,1462_banknote-authentication,0.9855745899999999,9.034499980771215e-06
CC,1466_cardiotocography,1.0,9.041000012075529e-06
CC,1475_first-order-theorem-proving,0.852637435,9.051000010913413e-06
CC,1479_hill-valley,0.778992505,8.931999986998563e-06
CC,1485_madelon,0.8100784,9.034000040628598e-06
CC,1489_phoneme,0.81975381,8.978499968179676e-06
CC,1494_qsar-biodeg,0.9353810149999999,8.895000014490506e-06
CC,1496_ringnorm,0.8863120449999999,8.932500004448229e-06
CC,1497_wall-robot-navigation,0.87129145,8.970999979283078e-06
CC,1504_steel-plates-fault,1.0,8.907999977054714e-06
CC,1507_twonorm,0.984823305,9.000999993986624e-06
CC,1526_wall-robot-navigation,0.8067822649999999,8.983999987322022e-06
CC,1535_volcanoes-b5,0.76086179,9.082000015041557e-06
CC,1538_volcanoes-d1,0.7134139999999999,8.97900000836671e-06
CC,1539_volcanoes-d2,0.7174087149999999,8.960499999375315e-06
CC,1540_volcanoes-d3,0.71043633,9.165499968730727e-06
CC,1541_volcanoes-d4,0.706437995,9.013000003506022e-06
CC,1566_hill-valley,0.816483365,9.010499970827368e-06
CC,182_satimage,0.98691588,9.22249998893676e-06
CC,23_cmc,0.828311805,8.915000016713747e-06
CC,28_optdigits,0.96165956,9.107000014410005e-06
CC,294_satellite_image,0.982835355,9.102499961954891e-06
CC,2dplanes,0.9177777500000001,9.279499909098377e-06
CC,30_page-blocks,0.8839265500000001,9.555500000715255e-06
CC,312_scene,0.966386135,8.907499959605047e-06
CC,375_JapaneseVowels,0.94727622,9.028000031321426e-06
CC,40474_thyroid-allbp,0.871422575,8.628500063423417e-06
CC,40475_thyroid-allhyper,0.871422575,8.737500038478175e-06
CC,40733_yeast,0.75816176,8.949500115704722e-06
CC,44_spambase,0.9514883749999999,9.514000003036927e-06
CC,4538_GesturePhaseSegmentationProcessed,0.755815825,8.988000017779995e-06
CC,60_waveform-5000,0.9290804300000001,8.74500001373235e-06
CC,679_rmftsa_sleepdata,0.772186665,8.622999976068968e-06
CC,AedesQuinx,0.91371386,8.81449999724282e-06
CC,AedesSex,0.98576594,8.74599991220748e-06
CC,ArabicDigit,0.9897810850000001,8.635000012873206e-06
CC,BNG,0.983271215,9.252000008928007e-06
CC,BNG_breast-w,0.983271215,9.551999974064528e-06
CC,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.79333591,9.385999892401741e-06
CC,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.805611485,9.492999997746666e-06
CC,HTRU,0.9192334649999999,9.36899996304419e-06
CC,MagicTelescope,0.853482715,9.353000023111235e-06
CC,abalone,0.900661305,8.729000055609504e-06
CC,ailerons,0.9366251149999999,9.158999946521362e-06
CC,anuranCalls,0.9601751249999999,8.566500046072179e-06
CC,balloon,0.8992311700000001,8.611500006736606e-06
CC,bank8FM,0.9638381800000001,8.659000013722106e-06
CC,churn,0.76414519,9.577499886290753e-06
CC,clean2,1.0,1.004600006126566e-05
CC,click-prediction,0.69712398,9.87800010079809e-06
