quantifier,dataset,sample_size,sampling_seed,iteration,alpha,pred_prev,abs_error,run_time
(KNN)Top-1,AedesQuinx,100,623,1,0.0,0.027898649872727017,0.027898649872727017,0.08912339998641983
(KNN)Top-1,AedesQuinx,100,243,2,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.086035999993328
(KNN)Top-1,AedesQuinx,100,18,3,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.058811599970795214
(KNN)Top-1,AedesQuinx,100,549,4,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.1183840999729
(KNN)Top-1,AedesQuinx,100,447,5,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.09524319996125996
(KNN)Top-1,AedesQuinx,100,954,6,0.0,0.03546602111381454,0.03546602111381454,0.08918609999818727
(KNN)Top-1,AedesQuinx,100,562,7,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.10437479999382049
(KNN)Top-1,AedesQuinx,100,739,8,0.0,0.034283033228896656,0.034283033228896656,0.07826570002362132
(KNN)Top-1,AedesQuinx,100,84,9,0.0,0.034570187331156965,0.034570187331156965,0.06446429999778047
(KNN)Top-1,AedesQuinx,100,51,10,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.06864160002442077
(KNN)Top-1,AedesQuinx,100,949,1,0.05,0.03684935337030565,0.013150646629694354,0.059251700004097074
(KNN)Top-1,AedesQuinx,100,144,2,0.05,4.4552394047661854e-05,0.049955447605952344,0.07994590001180768
(KNN)Top-1,AedesQuinx,100,940,3,0.05,4.4552394047661854e-05,0.049955447605952344,0.1031026000273414
(KNN)Top-1,AedesQuinx,100,575,4,0.05,0.09599637132083008,0.04599637132083008,0.12824289995478466
(KNN)Top-1,AedesQuinx,100,304,5,0.05,0.09111004453930793,0.04111004453930793,0.17391129996394739
(KNN)Top-1,AedesQuinx,100,462,6,0.05,4.4552394047661854e-05,0.049955447605952344,0.11739079997641966
(KNN)Top-1,AedesQuinx,100,296,7,0.05,0.06475212904380592,0.01475212904380592,0.1555174000095576
(KNN)Top-1,AedesQuinx,100,22,8,0.05,0.05690874179896997,0.0069087417989699695,0.07958129997132346
(KNN)Top-1,AedesQuinx,100,17,9,0.05,0.0019890207483231545,0.04801097925167685,0.06606879999162629
(KNN)Top-1,AedesQuinx,100,317,10,0.05,0.09577330479321061,0.04577330479321061,0.06366749998414889
(KNN)Top-1,AedesQuinx,100,917,1,0.11,0.18488745828293662,0.07488745828293662,0.06033970002317801
(KNN)Top-1,AedesQuinx,100,271,2,0.11,0.15822832941910225,0.04822832941910225,0.06907339999452233
(KNN)Top-1,AedesQuinx,100,605,3,0.11,0.11582527626391048,0.005825276263910481,0.059061799955088645
(KNN)Top-1,AedesQuinx,100,824,4,0.11,0.11270793839985452,0.0027079383998545176,0.06479379994561896
(KNN)Top-1,AedesQuinx,100,68,5,0.11,0.08501088121006495,0.024989118789935053,0.09398240002337843
(KNN)Top-1,AedesQuinx,100,434,6,0.11,0.11455855957252764,0.00455855957252764,0.07336899999063462
(KNN)Top-1,AedesQuinx,100,977,7,0.11,0.0970725030731493,0.012927496926850704,0.05865990003803745
(KNN)Top-1,AedesQuinx,100,909,8,0.11,0.11087507944873404,0.0008750794487340369,0.13987179996911436
(KNN)Top-1,AedesQuinx,100,594,9,0.11,0.10952890387256312,0.00047109612743688467,0.05860599997686222
(KNN)Top-1,AedesQuinx,100,923,10,0.11,0.008669367257077655,0.10133063274292234,0.09564660000614822
(KNN)Top-1,AedesQuinx,100,881,1,0.16,0.18062725796893392,0.020627257968933915,0.05901340005220845
(KNN)Top-1,AedesQuinx,100,593,2,0.16,0.18577554760647264,0.025775547606472632,0.08851989998947829
(KNN)Top-1,AedesQuinx,100,435,3,0.16,0.1141168643534145,0.0458831356465855,0.06284149998100474
(KNN)Top-1,AedesQuinx,100,772,4,0.16,0.12776760884719862,0.03223239115280138,0.06288569996831939
(KNN)Top-1,AedesQuinx,100,958,5,0.16,0.17503176116753505,0.015031761167535046,0.05875839997315779
(KNN)Top-1,AedesQuinx,100,295,6,0.16,0.07386891862637573,0.08613108137362427,0.07369149994337931
(KNN)Top-1,AedesQuinx,100,403,7,0.16,0.14096925255081605,0.019030747449183955,0.08689209999283776
(KNN)Top-1,AedesQuinx,100,375,8,0.16,0.1911223780648429,0.031122378064842887,0.10912779998034239
(KNN)Top-1,AedesQuinx,100,37,9,0.16,0.18520976700862518,0.025209767008625178,0.05872000003000721
(KNN)Top-1,AedesQuinx,100,651,10,0.16,0.07357445514696695,0.08642554485303305,0.09630209999158978
(KNN)Top-1,AedesQuinx,100,963,1,0.21,0.11576649668934175,0.09423350331065825,0.059042499982751906
(KNN)Top-1,AedesQuinx,100,459,2,0.21,0.19022563061004177,0.01977436938995822,0.09372210002038628
(KNN)Top-1,AedesQuinx,100,396,3,0.21,0.17646203333040134,0.03353796666959866,0.07558239996433258
(KNN)Top-1,AedesQuinx,100,392,4,0.21,0.16824048915010198,0.04175951084989801,0.058836799988057464
(KNN)Top-1,AedesQuinx,100,615,5,0.21,0.3238078033037184,0.1138078033037184,0.06117729999823496
(KNN)Top-1,AedesQuinx,100,217,6,0.21,0.13119124713959457,0.07880875286040542,0.05956039996817708
(KNN)Top-1,AedesQuinx,100,810,7,0.21,0.16197212821994444,0.04802787178005555,0.06123049999587238
(KNN)Top-1,AedesQuinx,100,695,8,0.21,0.22953699640533598,0.019536996405335988,0.07179489999543875
(KNN)Top-1,AedesQuinx,100,166,9,0.21,0.2809629080892476,0.07096290808924763,0.10435909999068826
(KNN)Top-1,AedesQuinx,100,78,10,0.21,0.1313954028972339,0.0786045971027661,0.07062489999225363
(KNN)Top-1,AedesQuinx,100,711,1,0.26,0.18323837795726278,0.07676162204273723,0.0588195999735035
(KNN)Top-1,AedesQuinx,100,998,2,0.26,0.2382629100427922,0.0217370899572078,0.10407579998718575
(KNN)Top-1,AedesQuinx,100,247,3,0.26,0.20864669730449492,0.05135330269550509,0.07681749999755993
(KNN)Top-1,AedesQuinx,100,43,4,0.26,0.15215520370650382,0.10784479629349619,0.0906904999865219
(KNN)Top-1,AedesQuinx,100,443,5,0.26,0.2994776532860617,0.039477653286061676,0.08345809997990727
(KNN)Top-1,AedesQuinx,100,198,6,0.26,0.23976458459597244,0.020235415404027568,0.07015030004549772
(KNN)Top-1,AedesQuinx,100,500,7,0.26,0.2308228811768972,0.02917711882310281,0.059253100014757365
(KNN)Top-1,AedesQuinx,100,414,8,0.26,0.28266444842383065,0.02266444842383064,0.06177199998637661
(KNN)Top-1,AedesQuinx,100,233,9,0.26,0.2531309783770066,0.00686902162299341,0.058553799986839294
(KNN)Top-1,AedesQuinx,100,175,10,0.26,0.29062285502678586,0.030622855026785856,0.05903920001583174
(KNN)Top-1,AedesQuinx,100,255,1,0.32,0.25020017103187725,0.06979982896812276,0.06907679996220395
(KNN)Top-1,AedesQuinx,100,429,2,0.32,0.30995042036578585,0.010049579634214156,0.09684429998742417
(KNN)Top-1,AedesQuinx,100,269,3,0.32,0.3450873586678023,0.025087358667802317,0.05941369995707646
(KNN)Top-1,AedesQuinx,100,214,4,0.32,0.3004443184139434,0.019555681586056584,0.08178160001989454
(KNN)Top-1,AedesQuinx,100,984,5,0.32,0.29320891701272533,0.026791082987274673,0.05965060001472011
(KNN)Top-1,AedesQuinx,100,309,6,0.32,0.3892630816019344,0.0692630816019344,0.0726882999879308
(KNN)Top-1,AedesQuinx,100,265,7,0.32,0.3037944767996038,0.0162055232003962,0.059179099975153804
