,predicted_ranking,predicted_ranking_weights,predicted_ranking_arr,true_ranking,true_ranking_weights,true_ranking_arr
1043_ada_agnostic,"('DyS', 'SMM', 'MS', 'SORD', 'MAX', 'HDy', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09337238 0.09307683 0.09297552 0.09296506 0.09262922 0.09256621
 0.09203124 0.09193762 0.08852239 0.08617363 0.0837499 ]","(np.float64(1.0283848821510904), np.float64(1.0251297093156244), np.float64(1.0240138996083816), np.float64(1.0238987566271087), np.float64(1.0201998763939577), np.float64(1.0195059068289756), np.float64(1.0136138680422557), np.float64(1.0125827326421193), np.float64(0.9749681026215598), np.float64(0.9490993308308977), np.float64(0.9224047522056091))","('SMM', 'SORD', 'MS', 'DyS', 'X', 'MAX', 'ACC', 'PACC', 'HDy', 'CC', 'PCC')","[0.09374283 0.09373215 0.09364143 0.09359874 0.09310243 0.09293166
 0.09267551 0.09152814 0.09046615 0.08306962 0.08151133]","(np.float64(1.0333002281269756), np.float64(1.0331825804338244), np.float64(1.0321825750420381), np.float64(1.0317119842694327), np.float64(1.0262413665378944), np.float64(1.0243590034474732), np.float64(1.0215354588118406), np.float64(1.0088883317980701), np.float64(0.9971823863295107), np.float64(0.9156525349756237), np.float64(0.8984759717755264))"
1460_banana,"('DyS', 'SORD', 'MS', 'SMM', 'MAX', 'HDy', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09375411 0.09357541 0.09344074 0.09338681 0.09278583 0.09262321
 0.09231283 0.09223256 0.08699695 0.08610942 0.08278212]","(np.float64(1.0328337441618827), np.float64(1.0308650683698475), np.float64(1.0293815855584776), np.float64(1.0287874672071158), np.float64(1.022166761929104), np.float64(1.0203752461246602), np.float64(1.0169560667988224), np.float64(1.0160717690540995), np.float64(0.9583940509811402), np.float64(0.9486167213069983), np.float64(0.9119618466695464))","('HDy', 'DyS', 'SORD', 'MAX', 'MS', 'X', 'PCC', 'SMM', 'ACC', 'CC', 'PACC')","[0.1051509  0.10155062 0.09841839 0.09841239 0.09159587 0.08897367
 0.08752156 0.08572743 0.08440733 0.08384928 0.07439257]","(np.float64(1.1665625969209958), np.float64(1.126620540884383), np.float64(1.0918709521325298), np.float64(1.0918043820391357), np.float64(1.0161807559431484), np.float64(0.9870896251298152), np.float64(0.9709796625283815), np.float64(0.9510752046034693), np.float64(0.9364297840567112), np.float64(0.9302387653710362), np.float64(0.825324298181533))"
1462_banknote-authentication,"('DyS', 'HDy', 'SORD', 'SMM', 'MS', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09475374 0.094464   0.09405399 0.09395559 0.09391732 0.09347451
 0.09344171 0.09196567 0.0863458  0.08213637 0.08149128]","(np.float64(1.0451244414518421), np.float64(1.0419286331530917), np.float64(1.037406262919701), np.float64(1.0363208940637099), np.float64(1.0358988061752386), np.float64(1.031014646322785), np.float64(1.030652856704028), np.float64(1.0143723238631803), np.float64(0.95238570252744), np.float64(0.9059560347948816), np.float64(0.8988408389602369))","('DyS', 'SORD', 'MS', 'MAX', 'X', 'SMM', 'ACC', 'HDy', 'CC', 'PCC', 'PACC')","[0.09153672 0.09130928 0.09126885 0.0912638  0.09125369 0.09113744
 0.09112734 0.09111723 0.09063709 0.0898537  0.08949486]","(np.float64(1.0069471556800638), np.float64(1.004445266076568), np.float64(1.004000485702613), np.float64(1.0039448881558686), np.float64(1.0038336930623801), np.float64(1.0025549494872599), np.float64(1.0024437543937712), np.float64(1.0023325593002828), np.float64(0.9970507923595691), np.float64(0.9884331726141943), np.float64(0.9844857467953453))"
1466_cardiotocography,"('DyS', 'SORD', 'MAX', 'SMM', 'X', 'MS', 'HDy', 'ACC', 'PCC', 'PACC', 'CC')","[0.09491522 0.09443005 0.09436117 0.09409605 0.09400194 0.09369005
 0.09284817 0.09200748 0.08379934 0.08334267 0.08250786]","(np.float64(1.0486028983958458), np.float64(1.043242810009827), np.float64(1.042481876966803), np.float64(1.0395528623588102), np.float64(1.0385131436011212), np.float64(1.0350674361322827), np.float64(1.02576655832971), np.float64(1.016478816904853), np.float64(0.9257969722016737), np.float64(0.9207518118041444), np.float64(0.911528987166587))","('ACC', 'CC', 'MAX', 'MS', 'SMM', 'SORD', 'X', 'DyS', 'HDy', 'PACC', 'PCC')","[0.09099143 0.09099143 0.09099143 0.09099143 0.09099143 0.09099143
 0.09099143 0.09097642 0.09096141 0.09056108 0.09056108]","(np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0009087252231097), np.float64(1.0007435889143264), np.float64(1.0005784526055428), np.float64(0.9961748177046502), np.float64(0.9961748177046502))"
1475_first-order-theorem-proving,"('DyS', 'SORD', 'HDy', 'SMM', 'X', 'MAX', 'MS', 'ACC', 'PCC', 'CC', 'PACC')","[0.09723182 0.09663753 0.09658747 0.09637014 0.09631932 0.09613252
 0.08857532 0.08611709 0.08516915 0.08165221 0.07920741]","(np.float64(1.0772172582488007), np.float64(1.0706331731712506), np.float64(1.0700786324144969), np.float64(1.0676708611898178), np.float64(1.0671077616144142), np.float64(1.065038307606581), np.float64(0.9813131449934317), np.float64(0.9540787450953387), np.float64(0.9435766748790021), np.float64(0.9046130258312182), np.float64(0.8775274418717374))","('DyS', 'HDy', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PACC', 'CC', 'PCC')","[0.09423113 0.09406076 0.0937365  0.09358261 0.09347819 0.09329682
 0.09309897 0.09302203 0.08495949 0.08470668 0.08182681]","(np.float64(1.0388807876301696), np.float64(1.0370024462587852), np.float64(1.0334275384874414), np.float64(1.0317309720874817), np.float64(1.030579730601795), np.float64(1.0285802059161275), np.float64(1.0263989062590366), np.float64(1.0255506230590568), np.float64(0.9366626620325906), np.float64(0.933875445804085), np.float64(0.9021254174619798))"
1479_hill-valley,"('DyS', 'MAX', 'SORD', 'SMM', 'X', 'HDy', 'MS', 'ACC', 'PACC', 'CC', 'PCC')","[0.09509417 0.09458513 0.09453965 0.09435345 0.09422146 0.09241401
 0.09168982 0.09105668 0.08546719 0.08350267 0.08307576]","(np.float64(1.0504346049611006), np.float64(1.0448116105947105), np.float64(1.0443091891473182), np.float64(1.0422524493658964), np.float64(1.0407944195084284), np.float64(1.02082883106965), np.float64(1.0128293181850727), np.float64(1.0058354323732808), np.float64(0.9440924444125178), np.float64(0.9223919394749756), np.float64(0.9176761850531161))","('HDy', 'DyS', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PCC', 'CC', 'PACC')","[0.09893515 0.09879281 0.09809818 0.09742062 0.09731814 0.09695943
 0.08940957 0.08940957 0.08627803 0.07723073 0.07014775]","(np.float64(1.0999134792650431), np.float64(1.0983309810068864), np.float64(1.0906083895070795), np.float64(1.0830756977982519), np.float64(1.0819362990523786), np.float64(1.0779484034418227), np.float64(0.9940126958291702), np.float64(0.9940126958291702), np.float64(0.9591977341497138), np.float64(0.858614144861248), np.float64(0.7798690315353504))"
1485_madelon,"('PCC', 'MS', 'SMM', 'SORD', 'DyS', 'ACC', 'MAX', 'CC', 'HDy', 'X', 'PACC')","[0.09418633 0.09335628 0.09265685 0.09252232 0.09225272 0.09188114
 0.09118523 0.0910237  0.09061491 0.08995204 0.08036847]","(np.float64(1.0401856202540485), np.float64(1.0310186814591904), np.float64(1.0232941871301977), np.float64(1.0218084944157404), np.float64(1.0188309801777504), np.float64(1.0147273342415561), np.float64(1.0070418012604696), np.float64(1.0052577854968228), np.float64(1.0007431959051014), np.float64(0.9934225445528384), np.float64(0.8875824199898145))","('HDy', 'CC', 'DyS', 'PCC', 'PACC', 'SMM', 'MAX', 'SORD', 'MS', 'ACC', 'X')","[0.09405718 0.09318767 0.09297975 0.09220476 0.09163769 0.09129745
 0.09112733 0.08954584 0.08881495 0.08814707 0.08700033]","(np.float64(1.0351605676640303), np.float64(1.0255911016690618), np.float64(1.0233027511050476), np.float64(1.0147734444573582), np.float64(1.008532488373683), np.float64(1.004787914723478), np.float64(1.0029156278983753), np.float64(0.98551029482057), np.float64(0.9774663958682774), np.float64(0.9701159364808379), np.float64(0.957495336400517))"
1489_phoneme,"('DyS', 'SORD', 'MS', 'MAX', 'X', 'ACC', 'SMM', 'CC', 'PACC', 'HDy', 'PCC')","[0.09148101 0.09141521 0.09135954 0.09125325 0.09122795 0.09122795
 0.09121276 0.09064085 0.09058517 0.09020052 0.08939579]","(np.float64(1.0063333944707704), np.float64(1.005609609350219), np.float64(1.0049971757865037), np.float64(1.0038279844383289), np.float64(1.003549605545743), np.float64(1.0035496055447477), np.float64(1.0033825782104684), np.float64(0.9970912152346565), np.float64(0.9964787816699835), np.float64(0.992247422510137), np.float64(0.9833949737269052))","('DyS', 'MS', 'HDy', 'SORD', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09455309 0.09419701 0.0941751  0.09402719 0.09395597 0.09356702
 0.09347937 0.09157295 0.08654943 0.08217783 0.08174505]","(np.float64(1.0428068330159301), np.float64(1.038879661768453), np.float64(1.038637989691685), np.float64(1.037006703173502), np.float64(1.0362212689240067), np.float64(1.0319315895613774), np.float64(1.030964901254306), np.float64(1.009939430575504), np.float64(0.9545361069764763), np.float64(0.9063225276612918), np.float64(0.9015495041451272))"
1494_qsar-biodeg,"('DyS', 'SORD', 'MS', 'MAX', 'X', 'SMM', 'ACC', 'HDy', 'CC', 'PCC', 'PACC')","[0.09153672 0.09130928 0.09126885 0.0912638  0.09125369 0.09113744
 0.09112734 0.09111723 0.09063709 0.0898537  0.08949486]","(np.float64(1.0069471556809244), np.float64(1.004445266077375), np.float64(1.0040004857033966), np.float64(1.0039448881566182), np.float64(1.003833693062992), np.float64(1.002554949488142), np.float64(1.0024437543943392), np.float64(1.0023325593009424), np.float64(0.9970507923581269), np.float64(0.9884331726112903), np.float64(0.984485746794397))","('HDy', 'DyS', 'SMM', 'MS', 'SORD', 'ACC', 'MAX', 'X', 'PACC', 'CC', 'PCC')","[0.09346407 0.09304991 0.09285876 0.0927207  0.09214193 0.09131891
 0.09111714 0.09010828 0.08992774 0.08916844 0.08412412]","(np.float64(1.0288616513490934), np.float64(1.0243024834929744), np.float64(1.0221982521747655), np.float64(1.020678529556059), np.float64(1.0143073847314823), np.float64(1.005247499889194), np.float64(1.0030263668310848), np.float64(0.9919207015405382), np.float64(0.9899333719622299), np.float64(0.9815748975593446), np.float64(0.9260465711066113))"
1496_ringnorm,"('DyS', 'HDy', 'SMM', 'MS', 'SORD', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.09194774 0.09185519 0.09169579 0.09162895 0.09156725 0.09126388
 0.09126388 0.09120218 0.09042062 0.08917115 0.08798338]","(np.float64(1.0115868162371837), np.float64(1.0105685687727353), np.float64(1.008814920354746), np.float64(1.0080795194096173), np.float64(1.00740068776798), np.float64(1.0040630988542625), np.float64(1.0040630988514525), np.float64(1.0033842672072533), np.float64(0.9947857330534834), np.float64(0.9810393922759159), np.float64(0.9679718831401797))","('DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09384066 0.09344793 0.09338337 0.09310899 0.09301215 0.09281309
 0.09239884 0.09212984 0.08708886 0.08610433 0.08267194]","(np.float64(1.0337987409107101), np.float64(1.029472169656843), np.float64(1.0287609524644261), np.float64(1.025738279396656), np.float64(1.0246714536080312), np.float64(1.0224785339314135), np.float64(1.017914890280074), np.float64(1.0149514853116717), np.float64(0.9594172762038131), np.float64(0.9485712140194608), np.float64(0.9107581666226479))"
