,quantifier,dataset,sample_size,real_prev,pred_prev,abs_error,run_time
0,ACC,AedesQuinx,100,0.0,0.03,0.026000000000000002,0.0002582000015536323
1,CC,AedesQuinx,100,0.0,0.03,0.197,5.199995939619839e-06
2,DyS,AedesQuinx,100,0.0,0.03,0.015,0.048598400004266296
3,HDy,AedesQuinx,100,0.0,0.03,0.006,0.21484419999615056
4,MAX,AedesQuinx,100,0.0,0.03,0.023,0.0001835999937611632
5,MS,AedesQuinx,100,0.0,0.03,0.014000000000000002,0.024602899997262284
6,PACC,AedesQuinx,100,0.0,0.03,0.125,0.0028393999964464456
7,PCC,AedesQuinx,100,0.0,0.03,0.278,0.002554500002588611
8,SMM,AedesQuinx,100,0.0,0.03,0.015000000000000003,0.00011629999789875001
9,SORD,AedesQuinx,100,0.0,0.03,0.016,1.319729599999846
10,X,AedesQuinx,100,0.0,0.03,0.021,0.0003556000010576099
11,ACC,AedesQuinx,100,0.05,0.05,0.024,0.0002578999992692843
12,CC,AedesQuinx,100,0.05,0.05,0.19,5.100002454128116e-06
13,DyS,AedesQuinx,100,0.05,0.05,0.034,0.04969880000135163
14,HDy,AedesQuinx,100,0.05,0.05,0.040999999999999995,0.2197048000016366
15,MAX,AedesQuinx,100,0.05,0.05,0.03300000000000001,0.00018990000535268337
16,MS,AedesQuinx,100,0.05,0.05,0.028999999999999998,0.02522809999936726
17,PACC,AedesQuinx,100,0.05,0.05,0.124,0.0029247999991639517
18,PCC,AedesQuinx,100,0.05,0.05,0.258,0.0025774000023375265
19,SMM,AedesQuinx,100,0.05,0.05,0.032,0.0001253000009455718
20,SORD,AedesQuinx,100,0.05,0.05,0.033,1.3702236999961315
21,X,AedesQuinx,100,0.05,0.05,0.022,0.0003690000012284145
22,ACC,AedesQuinx,100,0.11,0.08,0.023,0.0002609000002848916
23,CC,AedesQuinx,100,0.11,0.08,0.16100000000000003,5.199995939619839e-06
24,DyS,AedesQuinx,100,0.11,0.08,0.026000000000000002,0.04974719999881927
25,HDy,AedesQuinx,100,0.11,0.08,0.05800000000000001,0.2221175000013318
26,MAX,AedesQuinx,100,0.11,0.08,0.028000000000000004,0.00019109999993816018
27,MS,AedesQuinx,100,0.11,0.08,0.047,0.025296600004367065
28,PACC,AedesQuinx,100,0.11,0.08,0.10400000000000001,0.002966699998069089
29,PCC,AedesQuinx,100,0.11,0.08,0.22599999999999998,0.0026066999998874962
30,SMM,AedesQuinx,100,0.11,0.08,0.052000000000000005,0.00012510000669863075
31,SORD,AedesQuinx,100,0.11,0.08,0.04,1.366722499995376
32,X,AedesQuinx,100,0.11,0.08,0.023,0.0003618000046117231
33,ACC,AedesQuinx,100,0.16,0.08,0.03900000000000001,0.00025859999732347205
34,CC,AedesQuinx,100,0.16,0.08,0.133,5.100002454128116e-06
35,DyS,AedesQuinx,100,0.16,0.08,0.041999999999999996,0.04968129999906523
36,HDy,AedesQuinx,100,0.16,0.08,0.083,0.22139549999701558
37,MAX,AedesQuinx,100,0.16,0.08,0.046,0.00019099999917671084
38,MS,AedesQuinx,100,0.16,0.08,0.036000000000000004,0.025101599996560253
39,PACC,AedesQuinx,100,0.16,0.08,0.07400000000000001,0.0029540999967139214
40,PCC,AedesQuinx,100,0.16,0.08,0.186,0.0025939000042853877
41,SMM,AedesQuinx,100,0.16,0.08,0.037000000000000005,0.00012560000322991982
42,SORD,AedesQuinx,100,0.16,0.08,0.03899999999999999,1.379815599997528
43,X,AedesQuinx,100,0.16,0.08,0.041,0.00036950000503566116
44,ACC,AedesQuinx,100,0.21,0.1,0.05800000000000001,0.00025829999503912404
45,CC,AedesQuinx,100,0.21,0.1,0.11300000000000002,5.199995939619839e-06
46,DyS,AedesQuinx,100,0.21,0.1,0.067,0.0495876999993925
47,HDy,AedesQuinx,100,0.21,0.1,0.085,0.22100789999967674
48,MAX,AedesQuinx,100,0.21,0.1,0.06299999999999999,0.00019330000213813037
49,MS,AedesQuinx,100,0.21,0.1,0.066,0.0252355999982683
50,PACC,AedesQuinx,100,0.21,0.1,0.06000000000000001,0.002943599996797275
51,PCC,AedesQuinx,100,0.21,0.1,0.15499999999999997,0.002569800002675038
52,SMM,AedesQuinx,100,0.21,0.1,0.07599999999999998,0.00012579999747686088
53,SORD,AedesQuinx,100,0.21,0.1,0.06799999999999999,1.3738314000001992
54,X,AedesQuinx,100,0.21,0.1,0.054000000000000006,0.0003690999947139062
55,ACC,AedesQuinx,100,0.26,0.19,0.036,0.0002571000004536472
56,CC,AedesQuinx,100,0.26,0.19,0.095,5.100002454128116e-06
57,DyS,AedesQuinx,100,0.26,0.19,0.04,0.04958670000632992
58,HDy,AedesQuinx,100,0.26,0.19,0.081,0.21935520000261022
