dataset,predicted_ranking,true_ranking,predicted_ranking_error,true_ranking_error
AedesQuinx,"['SMM', 'HDy', 'SORD', 'MAX', 'DyS', 'X', 'PCC', 'MS', 'ACC', 'PACC', 'CC']","['DyS', 'MS', 'SORD', 'SMM', 'ACC', 'X', 'MAX', 'HDy', 'PACC', 'CC', 'PCC']","[np.float64(0.101366), np.float64(0.10184099999999993), np.float64(0.11161949999999994), np.float64(0.11917050000000005), np.float64(0.12589800000000004), np.float64(0.13597199999999998), np.float64(0.22718200000000013), np.float64(0.2898039999999999), np.float64(0.30572149999999987), np.float64(0.32312149999999995), np.float64(0.3255905000000001)]","[np.float64(0.03625), np.float64(0.03765), np.float64(0.03775), np.float64(0.03925), np.float64(0.0396), np.float64(0.040600000000000004), np.float64(0.042100000000000005), np.float64(0.0546), np.float64(0.0891), np.float64(0.09885000000000001), np.float64(0.14945)]"
AedesSex,"['SMM', 'HDy', 'SORD', 'MAX', 'DyS', 'X', 'PCC', 'MS', 'ACC', 'CC', 'PACC']","['DyS', 'MS', 'SORD', 'SMM', 'MAX', 'ACC', 'X', 'HDy', 'CC', 'PACC', 'PCC']","[np.float64(0.08839049999999998), np.float64(0.10266199999999998), np.float64(0.11175899999999991), np.float64(0.11647100000000002), np.float64(0.13591400000000003), np.float64(0.13708499999999996), np.float64(0.2126960000000001), np.float64(0.2490785), np.float64(0.2913609999999999), np.float64(0.36535250000000025), np.float64(0.373645)]","[np.float64(0.0093), np.float64(0.00945), np.float64(0.00945), np.float64(0.010450000000000001), np.float64(0.011300000000000001), np.float64(0.011899999999999999), np.float64(0.01235), np.float64(0.01255), np.float64(0.0156), np.float64(0.020550000000000002), np.float64(0.027450000000000002)]"
ArabicDigit,"['HDy', 'SMM', 'SORD', 'MAX', 'DyS', 'X', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['DyS', 'MS', 'SORD', 'SMM', 'ACC', 'X', 'MAX', 'CC', 'PACC', 'HDy', 'PCC']","[np.float64(0.10256499999999996), np.float64(0.10653349999999992), np.float64(0.110011), np.float64(0.12991350000000007), np.float64(0.13445300000000007), np.float64(0.150081), np.float64(0.22297100000000017), np.float64(0.2799304999999998), np.float64(0.2903334999999999), np.float64(0.3525890000000003), np.float64(0.3563799999999999)]","[np.float64(0.0066), np.float64(0.0073999999999999995), np.float64(0.0076), np.float64(0.00855), np.float64(0.00895), np.float64(0.00895), np.float64(0.009), np.float64(0.0108), np.float64(0.0111), np.float64(0.012400000000000001), np.float64(0.0159)]"
BNG,"['SMM', 'HDy', 'MAX', 'SORD', 'DyS', 'X', 'PCC', 'ACC', 'MS', 'PACC', 'CC']","['SORD', 'MS', 'DyS', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'HDy', 'CC', 'PCC']","[np.float64(0.08595099999999994), np.float64(0.09662499999999996), np.float64(0.11977600000000005), np.float64(0.12808049999999993), np.float64(0.1289635), np.float64(0.14624299999999998), np.float64(0.21000850000000015), np.float64(0.2913994999999999), np.float64(0.3182154999999998), np.float64(0.3521254999999999), np.float64(0.37330700000000017)]","[np.float64(0.00965), np.float64(0.009850000000000001), np.float64(0.0099), np.float64(0.0102), np.float64(0.010400000000000001), np.float64(0.01065), np.float64(0.0117), np.float64(0.01255), np.float64(0.014100000000000001), np.float64(0.0165), np.float64(0.02225)]"
HTRU,"['SMM', 'SORD', 'MAX', 'DyS', 'X', 'HDy', 'PCC', 'MS', 'ACC', 'PACC', 'CC']","['DyS', 'MAX', 'X', 'SMM', 'SORD', 'MS', 'ACC', 'PACC', 'HDy', 'PCC', 'CC']","[np.float64(0.07414299999999992), np.float64(0.09900749999999993), np.float64(0.10264749999999997), np.float64(0.10596550000000005), np.float64(0.11084250000000002), np.float64(0.12050199999999993), np.float64(0.20499099999999998), np.float64(0.24644449999999996), np.float64(0.2521569999999999), np.float64(0.2982199999999999), np.float64(0.31972950000000017)]","[np.float64(0.0193), np.float64(0.0216), np.float64(0.02375), np.float64(0.02485), np.float64(0.025500000000000002), np.float64(0.025750000000000002), np.float64(0.0305), np.float64(0.03165), np.float64(0.0455), np.float64(0.10674999999999998), np.float64(0.12384999999999999)]"
anuranCalls,"['SMM', 'SORD', 'HDy', 'MAX', 'DyS', 'X', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['DyS', 'MS', 'SORD', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'HDy', 'CC', 'PCC']","[np.float64(0.09775949999999994), np.float64(0.10533799999999996), np.float64(0.10894549999999999), np.float64(0.12137550000000004), np.float64(0.13778000000000007), np.float64(0.14266849999999992), np.float64(0.210408), np.float64(0.29583749999999986), np.float64(0.32370550000000003), np.float64(0.3289355000000002), np.float64(0.35150750000000003)]","[np.float64(0.01575), np.float64(0.0166), np.float64(0.0167), np.float64(0.01725), np.float64(0.01905), np.float64(0.0191), np.float64(0.020200000000000003), np.float64(0.026850000000000002), np.float64(0.0329), np.float64(0.0439), np.float64(0.05965)]"
click-prediction,"['SMM', 'HDy', 'X', 'MAX', 'DyS', 'SORD', 'PCC', 'MS', 'ACC', 'PACC', 'CC']","['SMM', 'DyS', 'HDy', 'SORD', 'X', 'MAX', 'PACC', 'PCC', 'ACC', 'CC', 'MS']","[np.float64(0.060353499999999956), np.float64(0.085826), np.float64(0.08705400000000002), np.float64(0.08881100000000001), np.float64(0.0926540000000001), np.float64(0.09418149999999993), np.float64(0.15443549999999998), np.float64(0.20191250000000005), np.float64(0.20253999999999994), np.float64(0.25706649999999986), np.float64(0.3126205000000001)]","[np.float64(0.1367), np.float64(0.1383), np.float64(0.13955), np.float64(0.14165), np.float64(0.14950000000000002), np.float64(0.1544), np.float64(0.35525), np.float64(0.35525), np.float64(0.5), np.float64(0.5), np.float64(0.5)]"
cmc,"['SMM', 'HDy', 'SORD', 'MAX', 'DyS', 'X', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['SMM', 'SORD', 'MS', 'DyS', 'X', 'ACC', 'MAX', 'HDy', 'PCC', 'CC', 'PACC']","[np.float64(0.08704699999999993), np.float64(0.10265299999999997), np.float64(0.11564149999999992), np.float64(0.12237949999999996), np.float64(0.12672150000000001), np.float64(0.13121299999999997), np.float64(0.22979550000000007), np.float64(0.2788059999999998), np.float64(0.29507099999999997), np.float64(0.32032450000000023), np.float64(0.3535275)]","[np.float64(0.07345), np.float64(0.0741), np.float64(0.07585), np.float64(0.0829), np.float64(0.097), np.float64(0.10124999999999999), np.float64(0.10425), np.float64(0.1548), np.float64(0.23205), np.float64(0.24315000000000003), np.float64(0.40945)]"
covtype_reduced,"['HDy', 'SMM', 'SORD', 'X', 'MAX', 'DyS', 'PCC', 'MS', 'ACC', 'CC', 'PACC']","['DyS', 'SORD', 'SMM', 'MS', 'MAX', 'X', 'ACC', 'HDy', 'PACC', 'CC', 'PCC']","[np.float64(0.09335549999999994), np.float64(0.10352449999999996), np.float64(0.11074049999999987), np.float64(0.13092549999999994), np.float64(0.13319250000000005), np.float64(0.1498665), np.float64(0.207455), np.float64(0.2870214999999999), np.float64(0.2908524999999999), np.float64(0.3604190000000002), np.float64(0.3923345000000002)]","[np.float64(0.05285000000000001), np.float64(0.053750000000000006), np.float64(0.0541), np.float64(0.05645), np.float64(0.06235), np.float64(0.0631), np.float64(0.065), np.float64(0.066), np.float64(0.11645000000000001), np.float64(0.1277), np.float64(0.18105)]"
default_credit_card_clients,"['SMM', 'HDy', 'SORD', 'MAX', 'DyS', 'X', 'PCC', 'ACC', 'PACC', 'MS', 'CC']","['SORD', 'SMM', 'MAX', 'DyS', 'MS', 'X', 'ACC', 'HDy', 'PCC', 'CC', 'PACC']","[np.float64(0.08498849999999997), np.float64(0.1083864999999999), np.float64(0.10867849999999994), np.float64(0.13027000000000002), np.float64(0.13986250000000008), np.float64(0.14235349999999997), np.float64(0.22146400000000002), np.float64(0.26466049999999997), np.float64(0.2849784999999999), np.float64(0.28800450000000005), np.float64(0.3046375000000002)]","[np.float64(0.07555), np.float64(0.07635), np.float64(0.07930000000000001), np.float64(0.08105), np.float64(0.0952), np.float64(0.09755), np.float64(0.10610000000000001), np.float64(0.1381), np.float64(0.28855), np.float64(0.37545), np.float64(0.4547)]"
