quantifier,dataset,sample_size,sampling_seed,iteration,alpha,pred_prev,abs_error,run_time
(REG)Top-1,679_rmftsa_sleepdata,100,151514,1,0.0,0.07425770787755728,0.07425770787755728,0.007599000000482192
(REG)Top-1,679_rmftsa_sleepdata,100,665651,2,0.0,0.21280432976259656,0.21280432976259656,0.00720990000263555
(REG)Top-1,679_rmftsa_sleepdata,100,302952,3,0.0,0.1628108139854325,0.1628108139854325,0.007562599999801023
(REG)Top-1,679_rmftsa_sleepdata,100,848952,4,0.0,0.16809952259081057,0.16809952259081057,0.007479500000044936
(REG)Top-1,679_rmftsa_sleepdata,100,262985,5,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.007344499997998355
(REG)Top-1,679_rmftsa_sleepdata,100,473367,6,0.0,0.057755672367848676,0.057755672367848676,0.007187800001702271
(REG)Top-1,679_rmftsa_sleepdata,100,592875,7,0.0,0.05458940137812816,0.05458940137812816,0.007462599998689257
(REG)Top-1,679_rmftsa_sleepdata,100,337175,8,0.0,0.07712568666650554,0.07712568666650554,0.007187299997895025
(REG)Top-1,679_rmftsa_sleepdata,100,763680,9,0.0,4.4552394047661854e-05,4.4552394047661854e-05,0.007372600000962848
(REG)Top-1,679_rmftsa_sleepdata,100,606398,10,0.0,0.044677127290646754,0.044677127290646754,0.00725859999874956
(REG)Top-1,679_rmftsa_sleepdata,100,505470,1,0.05,4.4552394047661854e-05,0.049955447605952344,0.0075017999988631345
(REG)Top-1,679_rmftsa_sleepdata,100,991732,2,0.05,0.19593817805852198,0.145938178058522,0.008424399999057641
(REG)Top-1,679_rmftsa_sleepdata,100,536163,3,0.05,0.19596602330480178,0.1459660233048018,0.007340699998167111
(REG)Top-1,679_rmftsa_sleepdata,100,159928,4,0.05,0.18499605474342778,0.1349960547434278,0.007395200002065394
(REG)Top-1,679_rmftsa_sleepdata,100,42826,5,0.05,4.4552394047661854e-05,0.049955447605952344,0.007231399999000132
(REG)Top-1,679_rmftsa_sleepdata,100,487870,6,0.05,0.31095896213358065,0.26095896213358066,0.007296799998584902
(REG)Top-1,679_rmftsa_sleepdata,100,490307,7,0.05,4.4552394047661854e-05,0.049955447605952344,0.0076636999983747955
(REG)Top-1,679_rmftsa_sleepdata,100,196734,8,0.05,0.10762755214182401,0.05762755214182401,0.007284899998921901
(REG)Top-1,679_rmftsa_sleepdata,100,622844,9,0.05,0.011057140633766845,0.03894285936623316,0.007225299999845447
(REG)Top-1,679_rmftsa_sleepdata,100,283220,10,0.05,0.2803425247037734,0.23034252470377342,0.008379999999306165
(REG)Top-1,679_rmftsa_sleepdata,100,665861,1,0.11,0.09161922097245226,0.01838077902754774,0.00812739999673795
(REG)Top-1,679_rmftsa_sleepdata,100,700406,2,0.11,0.3602623438531366,0.2502623438531366,0.007238400001369882
(REG)Top-1,679_rmftsa_sleepdata,100,531589,3,0.11,4.4552394047661854e-05,0.10995544760595234,0.00743270000020857
(REG)Top-1,679_rmftsa_sleepdata,100,928421,4,0.11,0.228421979201669,0.11842197920166901,0.0073072999985015485
