dataset,predicted_ranking,predicted_ranking_weights,predicted_ranking_mae,true_ranking,true_ranking_weights,true_ranking_mae
1043_ada_agnostic,"['DyS', 'SORD', 'SMM', 'MAX', 'HDy', 'MS', 'X', 'ACC', 'CC', 'PCC', 'PACC']","[0.13969785 0.12141279 0.11950165 0.11596182 0.11509932 0.09483175
 0.09474865 0.07675643 0.04676814 0.04396282 0.03125877]","[np.float64(0.05572598337666666), np.float64(0.06411845000000001), np.float64(0.06514387092499996), np.float64(0.06713243790500005), np.float64(0.06763550000000004), np.float64(0.08209064523666669), np.float64(0.08216264605), np.float64(0.1014221146125), np.float64(0.16645520833333324), np.float64(0.17707688977499994), np.float64(0.2490437023)]","['SORD', 'DyS', 'SMM', 'MS', 'ACC', 'MAX', 'X', 'PACC', 'HDy', 'CC', 'PCC']","[0.12885952 0.12514811 0.11836845 0.11429562 0.10576957 0.10074453
 0.10074453 0.08141976 0.0645731  0.03127759 0.02879922]","[np.float64(0.04505), np.float64(0.046386010000000005), np.float64(0.04904281), np.float64(0.05079041), np.float64(0.05488461), np.float64(0.0576222), np.float64(0.0576222), np.float64(0.071298685), np.float64(0.08990000000000001), np.float64(0.1856), np.float64(0.20157217)]"
1460_banana,"['HDy', 'DyS', 'MAX', 'SORD', 'MS', 'PCC', 'SMM', 'X', 'CC', 'ACC', 'PACC']","[0.16674402 0.15998442 0.14827134 0.11935373 0.08579887 0.06636228
 0.06305818 0.05397957 0.05145467 0.0461592  0.0388337 ]","[np.float64(0.10265206666666664), np.float64(0.1069892827499998), np.float64(0.11544118060833343), np.float64(0.14341083333333338), np.float64(0.19949700501666665), np.float64(0.25792693312500026), np.float64(0.2714416667999998), np.float64(0.31709437352083275), np.float64(0.332654333333333), np.float64(0.3708170486999996), np.float64(0.44076709042000006)]","['HDy', 'DyS', 'SORD', 'MAX', 'MS', 'PCC', 'SMM', 'X', 'CC', 'ACC', 'PACC']","[0.24237673 0.17315098 0.12683276 0.11291209 0.07631214 0.06126266
 0.05060399 0.04476818 0.04398177 0.03539293 0.03240577]","[np.float64(0.06685), np.float64(0.093576625), np.float64(0.12775), np.float64(0.1435), np.float64(0.21232382000000002), np.float64(0.26448221499999996), np.float64(0.32018984000000006), np.float64(0.36192860000000004), np.float64(0.36840000000000006), np.float64(0.4578), np.float64(0.5)]"
1462_banknote-authentication,"['SMM', 'DyS', 'MS', 'SORD', 'HDy', 'X', 'MAX', 'ACC', 'PCC', 'CC', 'PACC']","[0.15237105 0.12873427 0.12338577 0.11527973 0.10768111 0.08772347
 0.07576224 0.06977644 0.05458903 0.04818822 0.03650867]","[np.float64(0.018777370462500016), np.float64(0.022225064733333362), np.float64(0.023188472924999978), np.float64(0.02481899999999996), np.float64(0.02657037500000005), np.float64(0.03261530314999995), np.float64(0.03776456143750003), np.float64(0.04100420975000002), np.float64(0.05241213308749993), np.float64(0.05937399999999998), np.float64(0.07836843757500021)]","['DyS', 'X', 'MAX', 'SORD', 'MS', 'ACC', 'SMM', 'HDy', 'CC', 'PCC', 'PACC']","[0.15244906 0.13193949 0.1150419  0.1059702  0.101746   0.08502354
 0.08434718 0.08363567 0.0632229  0.04331716 0.03330691]","[np.float64(0.006117045), np.float64(0.00706792), np.float64(0.00810607), np.float64(0.0088), np.float64(0.00916535), np.float64(0.010967995), np.float64(0.011055945000000001), np.float64(0.01115), np.float64(0.014750000000000001), np.float64(0.021528135), np.float64(0.027998325)]"
1466_cardiotocography,"['MS', 'CC', 'SORD', 'SMM', 'PCC', 'HDy', 'ACC', 'MAX', 'DyS', 'PACC', 'X']","[0.20259653 0.12301719 0.11737015 0.10480487 0.09926775 0.08019606
 0.07611449 0.05063928 0.0504496  0.0503977  0.04514638]","[np.float64(0.03634916012500001), np.float64(0.059863291666666665), np.float64(0.06274350000000001), np.float64(0.07026594692083331), np.float64(0.07418535765000005), np.float64(0.091827625), np.float64(0.09675180150833335), np.float64(0.14542492374583327), np.float64(0.14597169833999987), np.float64(0.14612202567000002), np.float64(0.16311857347916664)]","['ACC', 'CC', 'MS', 'SORD', 'HDy', 'MAX', 'X', 'SMM', 'DyS', 'PACC', 'PCC']","[2.49591385e-01 2.49591385e-01 2.49591385e-01 2.49591385e-01
 5.54647522e-04 2.77323761e-04 2.77323761e-04 2.45427704e-04
 1.70960029e-04 5.43888797e-05 5.43888797e-05]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.00045), np.float64(0.0009), np.float64(0.0009), np.float64(0.0010169649999999999), np.float64(0.00145994), np.float64(0.004589015), np.float64(0.004589015)]"
1475_first-order-theorem-proving,"['DyS', 'SMM', 'SORD', 'X', 'MAX', 'HDy', 'MS', 'ACC', 'CC', 'PCC', 'PACC']","[0.12821751 0.11978936 0.11666633 0.11290609 0.11140558 0.10858138
 0.09789361 0.08761188 0.04353421 0.04113098 0.03226307]","[np.float64(0.05808550458249998), np.float64(0.062172287583333326), np.float64(0.06383657499999998), np.float64(0.06596259858749998), np.float64(0.06685103719583332), np.float64(0.06858983333333335), np.float64(0.07607829135416666), np.float64(0.08500649626833334), np.float64(0.1710741785714286), np.float64(0.18106983335416665), np.float64(0.23083910754166667)]","['SORD', 'DyS', 'SMM', 'MS', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC']","[0.1198154  0.1175178  0.11651886 0.11465116 0.1114996  0.10272995
 0.10218103 0.08968239 0.04675358 0.04248177 0.03616848]","[np.float64(0.06570000000000001), np.float64(0.066984505), np.float64(0.067558775), np.float64(0.068659325), np.float64(0.07060000000000001), np.float64(0.076626845), np.float64(0.077038485), np.float64(0.08777499999999999), np.float64(0.16836939999999997), np.float64(0.18530000000000002), np.float64(0.21764455000000002)]"
1479_hill-valley,"['HDy', 'SORD', 'PCC', 'SMM', 'MS', 'PACC', 'CC', 'X', 'ACC', 'DyS', 'MAX']","[0.11202256 0.10380854 0.09881911 0.09877933 0.09856952 0.08744538
 0.08482505 0.08320114 0.08088514 0.07638526 0.07525898]","[np.float64(0.18902825000000012), np.float64(0.20398541666666678), np.float64(0.21428474107916673), np.float64(0.2143710302558333), np.float64(0.21482734745), np.float64(0.24215603828000012), np.float64(0.2496364916666666), np.float64(0.25450885318750005), np.float64(0.26179626661250005), np.float64(0.27721878259166677), np.float64(0.28136745623333353)]","['HDy', 'MAX', 'X', 'DyS', 'SORD', 'SMM', 'ACC', 'MS', 'PCC', 'CC', 'PACC']","[0.14828687 0.13798486 0.13798486 0.12719336 0.10571419 0.09603771
 0.09336581 0.0874887  0.03192828 0.02090679 0.01310856]","[np.float64(0.044199999999999996), np.float64(0.04749999), np.float64(0.04749999), np.float64(0.051530045), np.float64(0.062), np.float64(0.06824693500000001), np.float64(0.0702), np.float64(0.07491573), np.float64(0.20528133), np.float64(0.3135), np.float64(0.5)]"
1485_madelon,"['HDy', 'DyS', 'ACC', 'X', 'MS', 'SORD', 'MAX', 'SMM', 'PCC', 'CC', 'PACC']","[0.11909506 0.11491243 0.10680311 0.1018574  0.09504401 0.09176996
 0.08654978 0.0865251  0.07273936 0.0723007  0.05240309]","[np.float64(0.11166450000000004), np.float64(0.1157289058125), np.float64(0.12451594821666669), np.float64(0.1305618462125), np.float64(0.13992138673333332), np.float64(0.1449133333333334), np.float64(0.15365365955000018), np.float64(0.15369747810416662), np.float64(0.1828266075774999), np.float64(0.18393583333333338), np.float64(0.25377681206666675)]","['MS', 'SMM', 'SORD', 'CC', 'DyS', 'PACC', 'MAX', 'PCC', 'HDy', 'ACC', 'X']","[0.0948043  0.09470882 0.09466502 0.09413785 0.0936751  0.09281929
 0.09078545 0.09056058 0.08627873 0.08378243 0.08378243]","[np.float64(0.249632735), np.float64(0.24988438999999998), np.float64(0.25), np.float64(0.2514), np.float64(0.2526419), np.float64(0.25497131), np.float64(0.260683355), np.float64(0.261330655), np.float64(0.2743), np.float64(0.282472765), np.float64(0.282472765)]"
1489_phoneme,"['DyS', 'SORD', 'X', 'SMM', 'MAX', 'HDy', 'MS', 'ACC', 'PACC', 'CC', 'PCC']","[0.1410774  0.12497422 0.11756679 0.11376243 0.10919495 0.1030068
 0.09836033 0.078587   0.04560132 0.03394181 0.03392695]","[np.float64(0.050750230205), np.float64(0.05728950000000005), np.float64(0.06089909032499997), np.float64(0.0629356371166666), np.float64(0.06556814874166673), np.float64(0.0695071666666666), np.float64(0.07279063673333336), np.float64(0.09110553921916653), np.float64(0.15700666044999978), np.float64(0.21094074999999995), np.float64(0.21103310983999987)]","['DyS', 'SORD', 'SMM', 'MAX', 'X', 'HDy', 'MS', 'ACC', 'PACC', 'PCC', 'CC']","[0.13420202 0.1283535  0.12077287 0.10972102 0.10972102 0.1073574
 0.10444276 0.07495499 0.05209335 0.02990477 0.0284763 ]","[np.float64(0.051837965), np.float64(0.0542), np.float64(0.057602005), np.float64(0.063404075), np.float64(0.063404075), np.float64(0.06480000000000001), np.float64(0.066608345), np.float64(0.0928125), np.float64(0.1335441), np.float64(0.23263043), np.float64(0.2443)]"
1494_qsar-biodeg,"['SMM', 'HDy', 'DyS', 'MS', 'SORD', 'ACC', 'X', 'MAX', 'CC', 'PACC', 'PCC']","[0.12644325 0.12106325 0.11663854 0.11411297 0.10722625 0.09216183
 0.07943436 0.07100806 0.06755965 0.06002391 0.04432793]","[np.float64(0.04411648129999998), np.float64(0.04607700000000001), np.float64(0.04782493933750001), np.float64(0.04888340909166659), np.float64(0.05202300000000006), np.float64(0.0605264774999999), np.float64(0.07022440984999997), np.float64(0.07855771465000004), np.float64(0.08256749999999995), np.float64(0.09293348124999998), np.float64(0.1258401068999998)]","['HDy', 'DyS', 'MS', 'SMM', 'SORD', 'MAX', 'ACC', 'CC', 'PACC', 'X', 'PCC']","[0.16606883 0.13608279 0.10509712 0.10392512 0.0957266  0.07896192
 0.07687274 0.07357331 0.0709478  0.05543842 0.03730534]","[np.float64(0.0313), np.float64(0.038197), np.float64(0.04945858), np.float64(0.050016345), np.float64(0.054299999999999994), np.float64(0.06582862), np.float64(0.067617655), np.float64(0.07065), np.float64(0.07326449), np.float64(0.093760865), np.float64(0.13933539)]"
1496_ringnorm,"['HDy', 'SORD', 'MAX', 'X', 'SMM', 'PCC', 'PACC', 'ACC', 'DyS', 'MS', 'CC']","[0.14195145 0.11165708 0.09760312 0.0955598  0.09234696 0.0849172
 0.07936108 0.07775246 0.07450785 0.07418986 0.07015312]","[np.float64(0.1964212500000001), np.float64(0.2497135000000001), np.float64(0.28566996737166694), np.float64(0.29177834194500035), np.float64(0.30192958585), np.float64(0.3283466744999996), np.float64(0.3513344289949998), np.float64(0.35860318165999994), np.float64(0.3742193449999999), np.float64(0.37582333085), np.float64(0.3974488916666666)]","['DyS', 'SORD', 'MS', 'SMM', 'MAX', 'HDy', 'ACC', 'X', 'PACC', 'CC', 'PCC']","[0.12551045 0.1194639  0.11803864 0.11417713 0.11331523 0.09945369
 0.09510683 0.088666   0.04942499 0.04405479 0.03278835]","[np.float64(0.047543625), np.float64(0.04995), np.float64(0.05055312), np.float64(0.052262845), np.float64(0.052660365), np.float64(0.06), np.float64(0.062742305), np.float64(0.0673), np.float64(0.12073287499999999), np.float64(0.13545), np.float64(0.181992145)]"
