dataset,quantifier,abs_error,run_time
AedesQuinx,ACC,0.0465,0.0013553749915445224
AedesQuinx,CC,0.092,8.620001608505845e-06
AedesQuinx,DyS,0.042499999999999996,0.05285332000348717
AedesQuinx,HDy,0.0605,0.2273330399970291
AedesQuinx,MAX,0.048,0.00020684999763034284
AedesQuinx,MS,0.046,0.03245498499891255
AedesQuinx,PACC,0.0795,0.004350535004050471
AedesQuinx,PCC,0.144,0.0028502850036602467
AedesQuinx,SMM,0.046,0.00015042500454001128
AedesQuinx,SORD,0.041999999999999996,1.4306089900055667
AedesQuinx,X,0.0475,0.0004222400079015642
AedesSex,ACC,0.014499999999999999,0.0013805999944452197
AedesSex,CC,0.019,8.565004100091755e-06
AedesSex,DyS,0.0075,0.050662385000032374
AedesSex,HDy,0.0085,0.22548137000121643
AedesSex,MAX,0.013000000000000001,0.00020616000110749156
AedesSex,MS,0.013000000000000001,0.032367634997353886
AedesSex,PACC,0.022,0.004370640002889559
AedesSex,PCC,0.029500000000000005,0.0029738299985183404
AedesSex,SMM,0.01,0.00015619000187143682
AedesSex,SORD,0.0115,1.4247326499957125
AedesSex,X,0.014499999999999999,0.00042023999558296057
anuranCalls,ACC,0.02,0.0013367450010264292
anuranCalls,CC,0.04,9.19000303838402e-06
anuranCalls,DyS,0.013999999999999999,0.04922681500320323
anuranCalls,HDy,0.026000000000000002,0.2175013650004985
anuranCalls,MAX,0.0165,0.00020455500343814493
anuranCalls,MS,0.0185,0.03253669000114314
anuranCalls,PACC,0.022,0.00427220999263227
anuranCalls,PCC,0.05450000000000001,0.002858054998796433
anuranCalls,SMM,0.0195,0.00012428498594090341
anuranCalls,SORD,0.017499999999999998,0.3798288699996192
anuranCalls,X,0.021,0.0004113850009161979
