quantifier,dataset,abs_error,run_time
ACC,AedesQuinx,0.0465,0.0013294899988977704
ACC,AedesSex,0.014499999999999999,0.0012811999993573408
ACC,anuranCalls,0.02,0.0013613999995868652
CC,AedesQuinx,0.092,8.399999205721543e-06
CC,AedesSex,0.019,9.709999721962958e-06
CC,anuranCalls,0.04,9.750002936925739e-06
DyS,AedesQuinx,0.042499999999999996,0.049736190000839994
DyS,AedesSex,0.0075,0.04882665000041016
DyS,anuranCalls,0.013999999999999999,0.04812663999910001
HDy,AedesQuinx,0.0605,0.21928750000006403
HDy,AedesSex,0.0085,0.2178405099984957
HDy,anuranCalls,0.026000000000000002,0.20849984000160476
MAX,AedesQuinx,0.048,0.00020323999924585224
MAX,AedesSex,0.013000000000000001,0.00020906499921693466
MAX,anuranCalls,0.0165,0.00020307000013417565
MS,AedesQuinx,0.046,0.030952234999858774
MS,AedesSex,0.013000000000000001,0.031222135001735297
MS,anuranCalls,0.0185,0.0311216100002639
PACC,AedesQuinx,0.0795,0.004146969999419525
PACC,AedesSex,0.022,0.004062344998237677
PACC,anuranCalls,0.022,0.0040879149993998
PCC,AedesQuinx,0.144,0.002744515000813408
PCC,AedesSex,0.029500000000000005,0.0027209250009036625
PCC,anuranCalls,0.05450000000000001,0.0026338799987570384
SMM,AedesQuinx,0.046,0.00015073500035214237
SMM,AedesSex,0.01,0.00014904499839758502
SMM,anuranCalls,0.0195,0.00011503499845275656
SORD,AedesQuinx,0.041999999999999996,1.3797020500001964
SORD,AedesSex,0.0115,1.385671224998805
SORD,anuranCalls,0.017499999999999998,0.36144547000003513
X,AedesQuinx,0.0475,0.000422665001678979
X,AedesSex,0.014499999999999999,0.0004189699982816819
X,anuranCalls,0.021,0.0003976100000727456
