quantifier,dataset,abs_error,run_time
ACC,AedesQuinx,0.0465,0.001536020000003191
ACC,AedesSex,0.014499999999999999,0.001457124999978987
ACC,ArabicDigit,0.0095,0.0015986700000667042
ACC,BNG,0.010499999999999999,0.0013698000000658794
ACC,anuranCalls,0.02,0.0015065299999150739
CC,AedesQuinx,0.092,1.1554999900909024e-05
CC,AedesSex,0.019,1.0534999910305487e-05
CC,ArabicDigit,0.013500000000000002,1.330499999312451e-05
CC,BNG,0.02,8.379999917451641e-06
CC,anuranCalls,0.04,1.0439999823574907e-05
DyS,AedesQuinx,0.042499999999999996,0.05057959499995377
DyS,AedesSex,0.0075,0.048397240000031164
DyS,ArabicDigit,0.0075,0.04812494999996488
DyS,BNG,0.008,0.049535905000038835
DyS,anuranCalls,0.013999999999999999,0.04658603500015488
HDy,AedesQuinx,0.0605,0.2159960250000495
HDy,AedesSex,0.0085,0.2126161850000699
HDy,ArabicDigit,0.010499999999999999,0.2068739049999749
HDy,BNG,0.010499999999999999,0.21749401500001114
HDy,anuranCalls,0.026000000000000002,0.20601203500000337
MAX,AedesQuinx,0.048,0.0001915099999678205
MAX,AedesSex,0.013000000000000001,0.000189505000025747
MAX,ArabicDigit,0.0095,0.0001873250000699045
MAX,BNG,0.0095,0.0001856950001183577
MAX,anuranCalls,0.0165,0.00018648999994184124
MS,AedesQuinx,0.046,0.03135346500016567
MS,AedesSex,0.013000000000000001,0.031074890000127198
MS,ArabicDigit,0.0085,0.031113754999978482
MS,BNG,0.0095,0.03114485000005516
MS,anuranCalls,0.0185,0.03135224500001641
PACC,AedesQuinx,0.0795,0.0041447800000241845
PACC,AedesSex,0.022,0.0041402050001124735
PACC,ArabicDigit,0.013000000000000001,0.004138160000093194
PACC,BNG,0.014000000000000002,0.003917764999732754
PACC,anuranCalls,0.022,0.00411380000009558
PCC,AedesQuinx,0.144,0.002726809999967372
PCC,AedesSex,0.029500000000000005,0.0027381400001559087
PCC,ArabicDigit,0.0195,0.002784775000100126
PCC,BNG,0.0245,0.0025599699999474977
PCC,anuranCalls,0.05450000000000001,0.0028429599999526545
SMM,AedesQuinx,0.046,0.0001341849998880207
SMM,AedesSex,0.01,0.00013051499995526684
SMM,ArabicDigit,0.0095,0.00012294999983168963
SMM,BNG,0.0095,0.00015581999991809425
SMM,anuranCalls,0.0195,0.0001175500000044849
SORD,AedesQuinx,0.041999999999999996,1.312493404999941
SORD,AedesSex,0.0115,1.2864686249999977
SORD,ArabicDigit,0.0095,0.46320709000019633
SORD,BNG,0.0085,2.151635020000003
SORD,anuranCalls,0.017499999999999998,0.3521193199999743
X,AedesQuinx,0.0475,0.0003446200001235411
X,AedesSex,0.014499999999999999,0.0003519849999975122
X,ArabicDigit,0.0095,0.0003411300000607298
X,BNG,0.010499999999999999,0.000355739999895377
X,anuranCalls,0.021,0.0003423299999667506
