quantifier,dataset,predicted_error,true_error
ACC,AedesQuinx,0.011998020348638764,0.0465
ACC,AedesSex,0.01457592459653171,0.0144999999999999
ACC,ArabicDigit,0.024956928713286756,0.0095
ACC,BNG,0.02443428773971777,0.0104999999999999
ACC,anuranCalls,0.018443676423612193,0.02
CC,AedesQuinx,0.022427469030508063,0.092
CC,AedesSex,0.028129952625483512,0.019
CC,ArabicDigit,0.04901909300522479,0.0135
CC,BNG,0.04965966242104841,0.02
CC,anuranCalls,0.034829761436975915,0.04
DyS,AedesQuinx,0.009115563383741174,0.0424999999999999
DyS,AedesSex,0.011120519277088403,0.0075
DyS,ArabicDigit,0.02046508981523064,0.0075
DyS,BNG,0.020975633632727735,0.008
DyS,anuranCalls,0.016735789878326062,0.0139999999999999
HDy,AedesQuinx,0.013750570160520026,0.0605
HDy,AedesSex,0.016853728210562628,0.0085
HDy,ArabicDigit,0.03125623606634257,0.0104999999999999
HDy,BNG,0.034359443971996584,0.0104999999999999
HDy,anuranCalls,0.023857831321425865,0.026
MAX,AedesQuinx,0.010771419743954224,0.048
MAX,AedesSex,0.013097430130458606,0.013
MAX,ArabicDigit,0.0236661995709079,0.0095
MAX,BNG,0.021432872889966308,0.0095
MAX,anuranCalls,0.01881076308191913,0.0165
MS,AedesQuinx,0.010918365770196486,0.046
MS,AedesSex,0.013467590331008843,0.013
MS,ArabicDigit,0.02388560940296179,0.0085
MS,BNG,0.023802156905761533,0.0095
MS,anuranCalls,0.01767008969259588,0.0185
PACC,AedesQuinx,0.015013512027115088,0.0795
PACC,AedesSex,0.019031383592663084,0.022
PACC,ArabicDigit,0.036598258276223844,0.013
PACC,BNG,0.03549028056289696,0.014
PACC,anuranCalls,0.028822953005575254,0.022
PCC,AedesQuinx,0.029090580322168453,0.144
PCC,AedesSex,0.03752092298112049,0.0295
PCC,ArabicDigit,0.07159994963655054,0.0195
PCC,BNG,0.067476062995506,0.0245
PCC,anuranCalls,0.05142454148893396,0.0545
SMM,AedesQuinx,0.011517214035913746,0.046
SMM,AedesSex,0.01379316650190688,0.01
SMM,ArabicDigit,0.024188447209351243,0.0095
SMM,BNG,0.025796861573709706,0.0095
SMM,anuranCalls,0.018872140795249175,0.0195
SORD,AedesQuinx,0.010462610461229751,0.0419999999999999
SORD,AedesSex,0.012456751719159595,0.0115
SORD,ArabicDigit,0.021993340537955347,0.0095
SORD,BNG,0.02103005642995268,0.0085
SORD,anuranCalls,0.017232196889368022,0.0174999999999999
X,AedesQuinx,0.012201973975741017,0.0475
X,AedesSex,0.014884054684198997,0.0144999999999999
X,ArabicDigit,0.02565050163777694,0.0095
X,BNG,0.02510619200916657,0.0104999999999999
X,anuranCalls,0.018703096803726595,0.021
