quantifier,dataset,abs_error,run_time
ACC,AedesQuinx,0.0465,0.0014966849999382247
ACC,AedesSex,0.014499999999999999,0.0014509049999560375
ACC,ArabicDigit,0.0095,0.0014192950000051496
ACC,BNG,0.010499999999999999,0.0014275249999627705
ACC,anuranCalls,0.02,0.0014468100001067796
CC,AedesQuinx,0.092,8.645000025353512e-06
CC,AedesSex,0.019,9.139999883700512e-06
CC,ArabicDigit,0.013500000000000002,1.1070000027757487e-05
CC,BNG,0.02,1.4585000053557451e-05
CC,anuranCalls,0.04,1.0150000025532791e-05
DyS,AedesQuinx,0.042499999999999996,0.0505357800001093
DyS,AedesSex,0.0075,0.04883669000009831
DyS,ArabicDigit,0.0075,0.04784592500000144
DyS,BNG,0.008,0.049770984999940995
DyS,anuranCalls,0.013999999999999999,0.04796571000010772
HDy,AedesQuinx,0.0605,0.21529663999999685
HDy,AedesSex,0.0085,0.21235615500008861
HDy,ArabicDigit,0.010499999999999999,0.2090866549999646
HDy,BNG,0.010499999999999999,0.21919831499990322
HDy,anuranCalls,0.026000000000000002,0.2081055849999757
MAX,AedesQuinx,0.048,0.00018897000022661815
MAX,AedesSex,0.013000000000000001,0.00018669000005502311
MAX,ArabicDigit,0.0095,0.0001993049998418428
MAX,BNG,0.0095,0.00019339499986017472
MAX,anuranCalls,0.0165,0.00018644000001586392
MS,AedesQuinx,0.046,0.031104415000027075
MS,AedesSex,0.013000000000000001,0.03104512499990051
MS,ArabicDigit,0.0085,0.031197680000013862
MS,BNG,0.0095,0.03125289499998871
MS,anuranCalls,0.0185,0.03129889499996352
PACC,AedesQuinx,0.0795,0.004084349999993719
PACC,AedesSex,0.022,0.004241310000088561
PACC,ArabicDigit,0.013000000000000001,0.004202679999843894
PACC,BNG,0.014000000000000002,0.003949715000135257
PACC,anuranCalls,0.022,0.004040134999922884
PCC,AedesQuinx,0.144,0.0027062049999585724
PCC,AedesSex,0.029500000000000005,0.0027661100000386796
PCC,ArabicDigit,0.0195,0.002739090000068245
PCC,BNG,0.0245,0.0025375150000400025
PCC,anuranCalls,0.05450000000000001,0.002665765000074316
SMM,AedesQuinx,0.046,0.00013434499992399652
SMM,AedesSex,0.01,0.00014282000011007768
SMM,ArabicDigit,0.0095,0.00011446499997873616
SMM,BNG,0.0095,0.00015787999986969226
SMM,anuranCalls,0.0195,0.0001127800000631396
SORD,AedesQuinx,0.041999999999999996,1.3073045549999278
SORD,AedesSex,0.0115,1.2711423949999698
SORD,ArabicDigit,0.0095,0.4656969549998394
SORD,BNG,0.0085,2.1304990950000957
SORD,anuranCalls,0.017499999999999998,0.35256534999998623
X,AedesQuinx,0.0475,0.00036393999994288606
X,AedesSex,0.014499999999999999,0.00035083499997199394
X,ArabicDigit,0.0095,0.00034457500000826256
X,BNG,0.010499999999999999,0.0003638149997641449
X,anuranCalls,0.021,0.0003434450001350342
