quantifier,dataset,predicted_error,true_error
ACC,AedesQuinx,0.013609999999999966,0.0465
ACC,AedesSex,0.019124999999999986,0.0144999999999999
ACC,ArabicDigit,0.02818999999999998,0.0095
ACC,BNG,0.027714999999999993,0.0104999999999999
ACC,anuranCalls,0.02086999999999998,0.02
CC,AedesQuinx,0.025545000000000026,0.092
CC,AedesSex,0.041760000000000026,0.019
CC,ArabicDigit,0.04491000000000001,0.0135
CC,BNG,0.03916000000000004,0.02
CC,anuranCalls,0.04012000000000005,0.04
DyS,AedesQuinx,0.009439999999999962,0.0424999999999999
DyS,AedesSex,0.01973499999999995,0.0075
DyS,ArabicDigit,0.02134499999999995,0.0075
DyS,BNG,0.021129999999999937,0.008
DyS,anuranCalls,0.025434999999999968,0.0139999999999999
HDy,AedesQuinx,0.014834999999999965,0.0605
HDy,AedesSex,0.03542999999999998,0.0085
HDy,ArabicDigit,0.031899999999999984,0.0104999999999999
HDy,BNG,0.029319999999999978,0.0104999999999999
HDy,anuranCalls,0.02611999999999997,0.026
MAX,AedesQuinx,0.012719999999999992,0.048
MAX,AedesSex,0.02493500000000001,0.013
MAX,ArabicDigit,0.027210000000000015,0.0095
MAX,BNG,0.02448000000000001,0.0095
MAX,anuranCalls,0.026930000000000013,0.0165
MS,AedesQuinx,0.013159999999999979,0.046
MS,AedesSex,0.018784999999999993,0.013
MS,ArabicDigit,0.023414999999999984,0.0085
MS,BNG,0.020649999999999977,0.0095
MS,anuranCalls,0.020524999999999988,0.0185
PACC,AedesQuinx,0.016280000000000003,0.0795
PACC,AedesSex,0.03241499999999994,0.022
PACC,ArabicDigit,0.03585999999999992,0.013
PACC,BNG,0.02705999999999996,0.014
PACC,anuranCalls,0.031889999999999925,0.022
PCC,AedesQuinx,0.03560000000000002,0.144
PCC,AedesSex,0.07138000000000001,0.0295
PCC,ArabicDigit,0.07010499999999997,0.0195
PCC,BNG,0.07855999999999999,0.0245
PCC,anuranCalls,0.06084499999999995,0.0545
SMM,AedesQuinx,0.012875000000000001,0.046
SMM,AedesSex,0.02033500000000002,0.01
SMM,ArabicDigit,0.021865000000000013,0.0095
SMM,BNG,0.021750000000000005,0.0095
SMM,anuranCalls,0.020510000000000025,0.0195
SORD,AedesQuinx,0.012029999999999945,0.0419999999999999
SORD,AedesSex,0.019039999999999925,0.0115
SORD,ArabicDigit,0.02347499999999994,0.0095
SORD,BNG,0.023289999999999925,0.0085
SORD,anuranCalls,0.021289999999999948,0.0174999999999999
X,AedesQuinx,0.01230499999999994,0.0475
X,AedesSex,0.020184999999999988,0.0144999999999999
X,ArabicDigit,0.025494999999999955,0.0095
X,BNG,0.02384499999999999,0.0104999999999999
X,anuranCalls,0.022249999999999995,0.021
