quantifier,dataset,predicted_error,true_error
ACC,AedesQuinx,0.26426549999999993,0.0396
ACC,AedesSex,0.29714149999999984,0.011899999999999999
ACC,ArabicDigit,0.31967049999999986,0.00895
ACC,BNG,0.26837950000000005,0.0117
ACC,HTRU,0.26748399999999983,0.0305
ACC,anuranCalls,0.3171914999999999,0.020200000000000003
ACC,click-prediction,0.20859599999999992,0.5
ACC,cmc,0.29190099999999997,0.10124999999999999
ACC,covtype_reduced,0.26681749999999993,0.065
ACC,default_credit_card_clients,0.2959124999999999,0.10610000000000001
ACC,eeg,0.252993,0.49985
ACC,jm1-processed,0.2803579999999999,0.2076
ACC,letter-recognition,0.24583649999999987,0.20470000000000002
ACC,magic,0.28035,0.0635
ACC,mozilla,0.28735249999999984,0.044950000000000004
ACC,namao,0.25628799999999996,0.01975
ACC,occupancy,0.3030389999999999,0.007549999999999999
ACC,phoneme,0.28166549999999985,0.09759999999999999
ACC,spambase,0.2798335,0.03760000000000001
ACC,winetype,0.29141449999999997,0.01305
CC,AedesQuinx,0.3089210000000002,0.09885000000000001
CC,AedesSex,0.3357890000000003,0.0156
CC,ArabicDigit,0.3371455000000004,0.0108
CC,BNG,0.34711200000000003,0.0165
CC,HTRU,0.3159830000000003,0.12384999999999999
CC,anuranCalls,0.3397650000000001,0.0439
CC,click-prediction,0.26472750000000006,0.5
CC,cmc,0.3575060000000003,0.24315000000000003
CC,covtype_reduced,0.28841100000000014,0.1277
CC,default_credit_card_clients,0.3198045,0.37545
CC,eeg,0.3625180000000001,0.49985
CC,jm1-processed,0.34539850000000016,0.46215
CC,letter-recognition,0.33694600000000013,0.4474
CC,magic,0.34004650000000003,0.18445
CC,mozilla,0.3296690000000002,0.09585
CC,namao,0.3943830000000003,0.044700000000000004
CC,occupancy,0.3271790000000002,0.00915
CC,phoneme,0.3479740000000001,0.2555
CC,spambase,0.3338155000000001,0.08575
CC,winetype,0.3483120000000002,0.01055
DyS,AedesQuinx,0.12523950000000006,0.03625
DyS,AedesSex,0.14419000000000004,0.0093
DyS,ArabicDigit,0.132761,0.0066
DyS,BNG,0.1459345000000001,0.0099
DyS,HTRU,0.11553750000000008,0.0193
DyS,anuranCalls,0.13407950000000005,0.01575
DyS,click-prediction,0.10745600000000005,0.1383
DyS,cmc,0.13262300000000005,0.0829
DyS,covtype_reduced,0.135551,0.05285000000000001
DyS,default_credit_card_clients,0.1309465,0.08105
DyS,eeg,0.08224950000000009,0.22475
DyS,jm1-processed,0.12683300000000003,0.0952
DyS,letter-recognition,0.13978700000000002,0.0766
DyS,magic,0.1436665,0.047950000000000007
DyS,mozilla,0.12194750000000001,0.0388
DyS,namao,0.12271800000000002,0.01545
DyS,occupancy,0.1297010000000001,0.007549999999999999
DyS,phoneme,0.12527799999999994,0.046700000000000005
DyS,spambase,0.1271775,0.02555
DyS,winetype,0.15218150000000003,0.007050000000000001
HDy,AedesQuinx,0.10536299999999997,0.0546
HDy,AedesSex,0.09596949999999994,0.01255
HDy,ArabicDigit,0.11294299999999995,0.012400000000000001
HDy,BNG,0.09299599999999998,0.014100000000000001
HDy,HTRU,0.11106999999999996,0.0455
HDy,anuranCalls,0.11012899999999995,0.0329
HDy,click-prediction,0.08741799999999995,0.13955
HDy,cmc,0.1016105,0.1548
HDy,covtype_reduced,0.0926445,0.066
HDy,default_credit_card_clients,0.09706649999999996,0.1381
HDy,eeg,0.09479749999999995,0.19845000000000002
HDy,jm1-processed,0.11033449999999992,0.1266
HDy,letter-recognition,0.10361749999999996,0.0994
HDy,magic,0.09892649999999996,0.0836
HDy,mozilla,0.1009925,0.046950000000000006
HDy,namao,0.11225599999999995,0.02275
HDy,occupancy,0.11124349999999993,0.0182
HDy,phoneme,0.12094899999999989,0.0685
HDy,spambase,0.11678949999999996,0.0453
HDy,winetype,0.1103159999999999,0.01855
MAX,AedesQuinx,0.1260325000000001,0.042100000000000005
MAX,AedesSex,0.12701500000000002,0.011300000000000001
MAX,ArabicDigit,0.120886,0.009
MAX,BNG,0.13174750000000002,0.010400000000000001
MAX,HTRU,0.10549750000000004,0.0216
MAX,anuranCalls,0.13627400000000006,0.01905
MAX,click-prediction,0.09435699999999997,0.1544
MAX,cmc,0.121336,0.10425
MAX,covtype_reduced,0.13798600000000005,0.06235
MAX,default_credit_card_clients,0.12159450000000005,0.07930000000000001
MAX,eeg,0.084722,0.28635
MAX,jm1-processed,0.12216900000000008,0.11005000000000001
MAX,letter-recognition,0.1293740000000001,0.08715
MAX,magic,0.14271550000000008,0.058100000000000006
MAX,mozilla,0.12713600000000003,0.042749999999999996
MAX,namao,0.12619900000000003,0.02065
MAX,occupancy,0.1143695000000001,0.00785
MAX,phoneme,0.13177950000000005,0.05800000000000001
MAX,spambase,0.142219,0.02665
MAX,winetype,0.14099900000000004,0.007299999999999999
MS,AedesQuinx,0.29645149999999987,0.03765
MS,AedesSex,0.314866,0.00945
MS,ArabicDigit,0.2933725000000001,0.0073999999999999995
MS,BNG,0.262699,0.009850000000000001
MS,HTRU,0.20876249999999996,0.025750000000000002
MS,anuranCalls,0.30711649999999996,0.0166
MS,click-prediction,0.2412429999999999,0.5
MS,cmc,0.29316349999999997,0.07585
MS,covtype_reduced,0.29459,0.05645
MS,default_credit_card_clients,0.342819,0.0952
MS,eeg,0.2476075000000001,0.49985
MS,jm1-processed,0.29352449999999997,0.17655
MS,letter-recognition,0.2636084999999999,0.14025
MS,magic,0.37124900000000005,0.05525
MS,mozilla,0.293131,0.04005
MS,namao,0.30028449999999995,0.0167
MS,occupancy,0.2893264999999999,0.00795
MS,phoneme,0.3135629999999999,0.07965
MS,spambase,0.29123349999999987,0.028450000000000003
MS,winetype,0.3079179999999999,0.0108
PACC,AedesQuinx,0.34653150000000005,0.0891
PACC,AedesSex,0.33656699999999995,0.020550000000000002
PACC,ArabicDigit,0.33718999999999993,0.0111
PACC,BNG,0.33224450000000005,0.01255
PACC,HTRU,0.27521449999999986,0.03165
PACC,anuranCalls,0.36044200000000004,0.026850000000000002
PACC,click-prediction,0.2731334999999999,0.35525
PACC,cmc,0.3408680000000001,0.40945
PACC,covtype_reduced,0.37503349999999985,0.11645000000000001
PACC,default_credit_card_clients,0.3024675000000001,0.4547
PACC,eeg,0.2902895,0.26139999999999997
PACC,jm1-processed,0.3328145000000001,0.5
PACC,letter-recognition,0.34266800000000003,0.5
PACC,magic,0.334498,0.1349
PACC,mozilla,0.3536820000000001,0.13705
PACC,namao,0.34885099999999997,0.02515
PACC,occupancy,0.34911949999999997,0.0306
PACC,phoneme,0.3504784999999999,0.1704
PACC,spambase,0.36676750000000014,0.0743
PACC,winetype,0.3388850000000001,0.01175
PCC,AedesQuinx,0.2173655000000002,0.14945
PCC,AedesSex,0.23085600000000003,0.027450000000000002
PCC,ArabicDigit,0.2198715000000001,0.0159
PCC,BNG,0.2114690000000001,0.02225
PCC,HTRU,0.18354099999999998,0.10674999999999998
PCC,anuranCalls,0.2011380000000001,0.05965
PCC,click-prediction,0.14673799999999992,0.35525
PCC,cmc,0.21930400000000017,0.23205
PCC,covtype_reduced,0.1878050000000001,0.18105
PCC,default_credit_card_clients,0.21414450000000002,0.28855
PCC,eeg,0.224396,0.26139999999999997
PCC,jm1-processed,0.21396350000000006,0.3255
PCC,letter-recognition,0.19444950000000008,0.31205
PCC,magic,0.2210305000000002,0.1845
PCC,mozilla,0.21127350000000003,0.18055000000000002
PCC,namao,0.23503850000000018,0.0615
PCC,occupancy,0.2070485000000001,0.0294
PCC,phoneme,0.22338700000000014,0.23115000000000002
PCC,spambase,0.2086335,0.1014
PCC,winetype,0.2325040000000002,0.0184
SMM,AedesQuinx,0.09921149999999992,0.03925
SMM,AedesSex,0.08882199999999994,0.010450000000000001
SMM,ArabicDigit,0.09977699999999994,0.00855
SMM,BNG,0.09859899999999998,0.0102
SMM,HTRU,0.07873799999999992,0.02485
SMM,anuranCalls,0.10057049999999991,0.01725
SMM,click-prediction,0.06418299999999996,0.1367
SMM,cmc,0.10299299999999997,0.07345
SMM,covtype_reduced,0.08663399999999996,0.0541
SMM,default_credit_card_clients,0.0946415,0.07635
SMM,eeg,0.06937199999999996,0.2407
SMM,jm1-processed,0.10031849999999996,0.11600000000000002
SMM,letter-recognition,0.08843199999999994,0.08505
SMM,magic,0.09683699999999995,0.0539
SMM,mozilla,0.09183399999999993,0.043100000000000006
SMM,namao,0.10166749999999994,0.017800000000000003
SMM,occupancy,0.09353649999999997,0.010150000000000001
SMM,phoneme,0.09233449999999996,0.05800000000000001
SMM,spambase,0.099225,0.028750000000000005
SMM,winetype,0.09284349999999994,0.01265
SORD,AedesQuinx,0.10744299999999997,0.03775
SORD,AedesSex,0.10715349999999997,0.00945
SORD,ArabicDigit,0.12543599999999994,0.0076
SORD,BNG,0.11397249999999996,0.00965
SORD,HTRU,0.08825500000000001,0.025500000000000002
SORD,anuranCalls,0.10606749999999997,0.0167
SORD,click-prediction,0.069525,0.14165
SORD,cmc,0.10783999999999995,0.0741
SORD,covtype_reduced,0.11137149999999998,0.053750000000000006
SORD,default_credit_card_clients,0.10976549999999996,0.07555
SORD,eeg,0.08415099999999999,0.22195
SORD,jm1-processed,0.11344349999999992,0.10965
SORD,letter-recognition,0.11548899999999994,0.0804
SORD,magic,0.11592249999999989,0.05455
SORD,mozilla,0.10084899999999994,0.0398
SORD,namao,0.11358449999999996,0.017
SORD,occupancy,0.11995549999999991,0.0078
SORD,phoneme,0.12285749999999991,0.0521
SORD,spambase,0.11040199999999992,0.026500000000000003
SORD,winetype,0.10339500000000003,0.0094
X,AedesQuinx,0.13704200000000002,0.040600000000000004
X,AedesSex,0.13291350000000002,0.01235
X,ArabicDigit,0.15390899999999996,0.00895
X,BNG,0.12974950000000005,0.01065
X,HTRU,0.13000050000000002,0.02375
X,anuranCalls,0.14689849999999996,0.0191
X,click-prediction,0.10126299999999999,0.14950000000000002
X,cmc,0.15011949999999996,0.097
X,covtype_reduced,0.13744199999999998,0.0631
X,default_credit_card_clients,0.13098100000000007,0.09755
X,eeg,0.08109950000000006,0.28635
X,jm1-processed,0.12694249999999996,0.11835
X,letter-recognition,0.13560449999999996,0.08715
X,magic,0.14455149999999992,0.058100000000000006
X,mozilla,0.13641899999999996,0.042249999999999996
X,namao,0.16335999999999998,0.02015
X,occupancy,0.13495899999999994,0.009600000000000001
X,phoneme,0.14347199999999993,0.0601
X,spambase,0.13926849999999996,0.028800000000000003
X,winetype,0.1471005,0.009049999999999999
