quantifier,dataset,abs_error,run_time
{'ACC'},{'AedesQuinx'},0.0465,0.001362094999785768
{'ACC'},{'AedesSex'},0.014499999999999999,0.0012874550000560702
{'ACC'},{'anuranCalls'},0.02,0.001222689999940485
{'CC'},{'AedesQuinx'},0.092,8.8400001914124e-06
{'CC'},{'AedesSex'},0.019,8.600000091973925e-06
{'CC'},{'anuranCalls'},0.04,1.079499988918542e-05
{'DyS'},{'AedesQuinx'},0.042499999999999996,0.04909900500006188
{'DyS'},{'AedesSex'},0.0075,0.0487164950000988
{'DyS'},{'anuranCalls'},0.013999999999999999,0.04654609999997774
{'HDy'},{'AedesQuinx'},0.0605,0.21450328499986426
{'HDy'},{'AedesSex'},0.0085,0.2174350249998497
{'HDy'},{'anuranCalls'},0.026000000000000002,0.2094987450002918
{'MAX'},{'AedesQuinx'},0.048,0.00018805999998221522
{'MAX'},{'AedesSex'},0.013000000000000001,0.0002123550000760588
{'MAX'},{'anuranCalls'},0.0165,0.0002153000001271721
{'MS'},{'AedesQuinx'},0.046,0.031024874999729946
{'MS'},{'AedesSex'},0.013000000000000001,0.031032230000255366
{'MS'},{'anuranCalls'},0.0185,0.031240574999901582
{'PACC'},{'AedesQuinx'},0.0795,0.003948644999854878
{'PACC'},{'AedesSex'},0.022,0.004084720000082598
{'PACC'},{'anuranCalls'},0.022,0.003973020000285032
{'PCC'},{'AedesQuinx'},0.144,0.00288416999983383
{'PCC'},{'AedesSex'},0.029500000000000005,0.002818399999887333
{'PCC'},{'anuranCalls'},0.05450000000000001,0.002727855000193813
{'SMM'},{'AedesQuinx'},0.046,0.00014105999980529305
{'SMM'},{'AedesSex'},0.01,0.00013779000000795348
{'SMM'},{'anuranCalls'},0.0195,0.00010951000003842637
{'SORD'},{'AedesQuinx'},0.041999999999999996,1.3628951900001085
{'SORD'},{'AedesSex'},0.0115,1.4233946600001217
{'SORD'},{'anuranCalls'},0.017499999999999998,0.3708002250004029
{'X'},{'AedesQuinx'},0.0475,0.0003787750002629764
{'X'},{'AedesSex'},0.014499999999999999,0.0003822750000836095
{'X'},{'anuranCalls'},0.021,0.0003592749999370426
