quantifier,dataset,abs_error,run_time
ACC,1043_ada_agnostic,0.0546,0.0002527579996967688
ACC,1460_banana,0.4578,0.00024674649961525574
ACC,1462_banknote-authentication,0.010549999999999999,0.00024452799960272386
ACC,1466_cardiotocography,0.0,0.0002454645001853351
ACC,1475_first-order-theorem-proving,0.0768,0.000255382499890402
ACC,1479_hill-valley,0.07,0.00024744999973336235
ACC,1485_madelon,0.28285,0.0002520729992829729
ACC,1489_phoneme,0.0928,0.0002516319998539984
ACC,1494_qsar-biodeg,0.0676,0.0002471529996546451
ACC,1496_ringnorm,0.06265,0.00024983949944726194
ACC,1497_wall-robot-navigation,0.059800000000000006,0.0002479799995489884
ACC,1504_steel-plates-fault,0.0,0.0002457484988553915
ACC,1507_twonorm,0.01115,0.0002506160011398606
ACC,1526_wall-robot-navigation,0.14745,0.00024926450074417515
ACC,1535_volcanoes-b5,0.0935,0.00024987699929624797
ACC,1538_volcanoes-d1,0.1641,0.00025255049840779977
ACC,1539_volcanoes-d2,0.1791,0.000249223501450615
ACC,1540_volcanoes-d3,0.255,0.0002494794990343507
ACC,1541_volcanoes-d4,0.31420000000000003,0.00024890750020858834
ACC,1566_hill-valley,0.2618,0.0002497714993660338
ACC,182_satimage,0.01085,0.00025633700017351657
ACC,23_cmc,0.0993,0.0002427789992361795
ACC,28_optdigits,0.01325,0.0002576505001343321
ACC,294_satellite_image,0.011049999999999999,0.0002577219987870194
ACC,2dplanes,0.0377,0.00026191599929006773
ACC,30_page-blocks,0.06975,0.00024770800009719094
ACC,312_scene,0.013999999999999999,0.000254636001191102
ACC,375_JapaneseVowels,0.01825,0.0002519614997436293
ACC,40474_thyroid-allbp,0.07185000000000001,0.00024511749885277825
ACC,40475_thyroid-allhyper,0.07185000000000001,0.0002474474998598453
ACC,40733_yeast,0.3895,0.00024328599844011478
ACC,44_spambase,0.02415,0.00025352850017952734
ACC,4538_GesturePhaseSegmentationProcessed,0.1764,0.0002580699995451141
ACC,60_waveform-5000,0.0458,0.000254671002185205
ACC,679_rmftsa_sleepdata,0.33740000000000003,0.0002444955016835593
ACC,AedesQuinx,0.0462,0.00026012950082076713
ACC,AedesSex,0.0118,0.0002601390011841431
ACC,ArabicDigit,0.00975,0.00025521950083202684
ACC,BNG,0.011049999999999999,0.0002595109991671052
ACC,BNG_breast-w,0.011049999999999999,0.0002599760003795382
ACC,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.45049999999999996,0.0002435535000404343
ACC,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.4721,0.00024570400026277636
ACC,HTRU,0.02305,0.00025480350115685723
ACC,MagicTelescope,0.061900000000000004,0.00025997999982791954
ACC,abalone,0.050949999999999995,0.0002468499989481643
ACC,ailerons,0.03305,0.0002598994996515103
ACC,anuranCalls,0.0206,0.00025048649971722627
ACC,balloon,0.032549999999999996,0.00024282949889311566
ACC,bank8FM,0.0175,0.00025234399989130905
ACC,churn,0.1891,0.0002461729997594375
ACC,clean2,0.0,0.00025769150030100716
ACC,click-prediction,0.4269,0.0002606224990449846
ACC,cmc,0.09119999999999999,0.00024523149972083047
ACC,covtype_reduced,0.06815,0.0002560865000123158
ACC,cpu_act,0.025849999999999998,0.00025449350083363244
ACC,default_credit_card_clients,0.12235,0.00025890050150337627
ACC,delta_ailerons,0.020950000000000003,0.0002482869997038506
ACC,eeg,0.22215,0.00025683650019345803
ACC,electricity-normalized,0.06295,0.000260227499238681
ACC,elevators,0.0327,0.0002574949988047592
ACC,file22f0e4a679,0.012450000000000001,0.0002499959996202961
ACC,file79b563a1a18,0.06265000000000001,0.00025394899974344297
ACC,file7b5365fa741c,0.04735,0.0002521165000507608
ACC,fri_c2_1000_10,0.08385,0.00024207750000641682
ACC,fried,0.0403,0.00025906849827151746
ACC,gina_agnostic,0.04245,0.0002564869998604991
ACC,houses,0.012350000000000002,0.0002529679992585443
ACC,jm1-processed,0.1771,0.00025596949941245837
ACC,kdd_JapaneseVowels,0.01825,0.00025251800077967344
ACC,kin8nm,0.0729,0.0002504870000120718
ACC,letter-recognition,0.1978,0.0002592465000634547
ACC,magic,0.061900000000000004,0.0002589944995997939
ACC,mozilla,0.043899999999999995,0.0002518110006349161
ACC,namao,0.02045,0.00025921050008037127
ACC,occupancy,0.0058,0.0002543559996411204
ACC,page-blocks,0.06975,0.0002484400001412723
ACC,parity5_plus_5,0.3013,0.00024354150038561785
ACC,pendigits,0.00895,0.00025250350328860806
ACC,phoneme,0.10115,0.00024705700037884525
ACC,php50jXam,0.010549999999999999,0.00024451049976050856
ACC,phpGUrE90,0.06665,0.0002468300001055468
ACC,phpMD2hR6,0.07315,0.0002581594989169389
ACC,phpV5QYya,0.02705,0.0002558079996379092
ACC,phpWfYmlu,0.06165,0.0002501250011846423
ACC,phphQEck0,0.03065,0.00025831700026174076
ACC,phplE7q6h,0.20504999999999998,0.000255981499212794
ACC,phpmPOD5A,0.5,0.0002602245002344716
ACC,phpwRjVjk,0.4349,0.00024817050114506856
ACC,phpxijhaP,0.01115,0.00025160200049867854
ACC,pol,0.02925,0.00025882999994792044
ACC,pollen,0.30325,0.0002466260001529008
ACC,puma32H,0.11615,0.0002542874991195276
ACC,puma8NH,0.0537,0.000251116000872571
ACC,quake,0.38795,0.00024175900020054542
ACC,space_ga,0.044750000000000005,0.0002473209997697268
ACC,spambase,0.02415,0.0002541435013699811
ACC,sylva_prior,0.0079,0.0002590325003257021
ACC,visualizing_soil,0.00395,0.00025083550019189716
ACC,wind,0.03665,0.0002480389994161669
ACC,winetype,0.0046500000000000005,0.000250112999783596
CC,1043_ada_agnostic,0.1856,8.84100008988753e-06
CC,1460_banana,0.36840000000000006,8.524500153725966e-06
CC,1462_banknote-authentication,0.014750000000000001,8.470998727716505e-06
CC,1466_cardiotocography,0.0,8.399999787798151e-06
CC,1475_first-order-theorem-proving,0.18530000000000002,8.894000930013135e-06
CC,1479_hill-valley,0.3135,8.506501035299153e-06
CC,1485_madelon,0.2514,8.644999470561742e-06
CC,1489_phoneme,0.2443,8.658000879222528e-06
CC,1494_qsar-biodeg,0.07065,8.434000628767535e-06
CC,1496_ringnorm,0.13545,8.744501101318747e-06
CC,1497_wall-robot-navigation,0.15755,8.597000560257584e-06
CC,1504_steel-plates-fault,0.0,8.442999824183062e-06
CC,1507_twonorm,0.01555,8.665500499773771e-06
CC,1526_wall-robot-navigation,0.26795,8.56850077980198e-06
CC,1535_volcanoes-b5,0.3494,8.622998866485431e-06
CC,1538_volcanoes-d1,0.45655,8.665999775985255e-06
CC,1539_volcanoes-d2,0.4465,8.560499554732815e-06
CC,1540_volcanoes-d3,0.46380000000000005,8.612999081378803e-06
CC,1541_volcanoes-d4,0.47409999999999997,8.624999318271875e-06
CC,1566_hill-valley,0.24625,8.578000270063057e-06
CC,182_satimage,0.0134,8.705999498488381e-06
CC,23_cmc,0.22755,8.42049965285696e-06
CC,28_optdigits,0.0407,8.811999286990612e-06
CC,294_satellite_image,0.01765,8.987501496449113e-06
CC,2dplanes,0.0925,8.944499859353527e-06
CC,30_page-blocks,0.13935,8.587999764131382e-06
CC,312_scene,0.0354,8.795999456197023e-06
CC,375_JapaneseVowels,0.0571,8.719001343706622e-06
CC,40474_thyroid-allbp,0.15475,8.57150022056885e-06
CC,40475_thyroid-allhyper,0.15475,8.748500258661806e-06
CC,40733_yeast,0.36485,8.351500582648441e-06
CC,44_spambase,0.052300000000000006,8.939998806454242e-06
CC,4538_GesturePhaseSegmentationProcessed,0.36875,8.77199912793003e-06
CC,60_waveform-5000,0.0786,8.730000699870288e-06
CC,679_rmftsa_sleepdata,0.3357,8.501999691361561e-06
